day	hour	value
1	1	0
1	2	1
1	3	2
1	4	1
1	5	1
1	6	1
1	7	5
1	8	2
1	9	2
1	10	2
1	11	6
1	12	1
1	13	1
1	14	2
1	15	0
1	16	0
1	17	0
1	18	1
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	1
2	8	3
2	9	0
2	10	1
2	11	1
2	12	1
2	13	1
2	14	2
2	15	3
2	16	3
2	17	2
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	1
3	4	0
3	5	1
3	6	4
3	7	2
3	8	1
3	9	1
3	10	2
3	11	2
3	12	2
3	13	2
3	14	2
3	15	2
3	16	3
3	17	2
3	18	0
3	19	1
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	4
4	4	0
4	5	2
4	6	2
4	7	0
4	8	3
4	9	0
4	10	3
4	11	0
4	12	1
4	13	0
4	14	1
4	15	2
4	16	1
4	17	0
4	18	0
4	19	0
4	20	0
4	21	1
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	1
5	4	1
5	5	1
5	6	2
5	7	3
5	8	1
5	9	1
5	10	1
5	11	1
5	12	3
5	13	1
5	14	1
5	15	0
5	16	1
5	17	1
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	2
6	4	1
6	5	1
6	6	2
6	7	0
6	8	1
6	9	0
6	10	0
6	11	1
6	12	2
6	13	0
6	14	1
6	15	1
6	16	0
6	17	0
6	18	0
6	19	1
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	0
7	9	1
7	10	1
7	11	0
7	12	2
7	13	0
7	14	1
7	15	2
7	16	0
7	17	2
7	18	2
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
