day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	5
1	8	0
1	9	0
1	10	1
1	11	14
1	12	3
1	13	3
1	14	5
1	15	1
1	16	12
1	17	3
1	18	1
1	19	4
1	20	13
1	21	2
1	22	4
1	23	13
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	3
2	8	0
2	9	0
2	10	4
2	11	13
2	12	1
2	13	1
2	14	5
2	15	4
2	16	15
2	17	1
2	18	1
2	19	4
2	20	15
2	21	1
2	22	7
2	23	16
2	24	3
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	6
3	11	17
3	12	3
3	13	0
3	14	4
3	15	3
3	16	15
3	17	1
3	18	1
3	19	3
3	20	15
3	21	1
3	22	4
3	23	16
3	24	2
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	3
4	11	14
4	12	1
4	13	0
4	14	4
4	15	4
4	16	14
4	17	1
4	18	3
4	19	2
4	20	14
4	21	1
4	22	4
4	23	15
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	5
5	11	15
5	12	1
5	13	3
5	14	6
5	15	13
5	16	15
5	17	3
5	18	1
5	19	2
5	20	13
5	21	1
5	22	4
5	23	13
5	24	2
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	2
6	11	13
6	12	1
6	13	0
6	14	3
6	15	4
6	16	11
6	17	1
6	18	3
6	19	2
6	20	12
6	21	2
6	22	2
6	23	14
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	15
7	12	0
7	13	0
7	14	9
7	15	7
7	16	14
7	17	1
7	18	0
7	19	1
7	20	14
7	21	0
7	22	1
7	23	15
7	24	2
