day	hour	value
1	1	5
1	2	3
1	3	5
1	4	5
1	5	6
1	6	2
1	7	5
1	8	3
1	9	9
1	10	4
1	11	6
1	12	6
1	13	6
1	14	3
1	15	6
1	16	1
1	17	5
1	18	3
1	19	4
1	20	5
1	21	2
1	22	5
1	23	5
1	24	0
2	1	3
2	2	2
2	3	3
2	4	2
2	5	0
2	6	1
2	7	3
2	8	2
2	9	3
2	10	3
2	11	2
2	12	0
2	13	2
2	14	4
2	15	2
2	16	2
2	17	1
2	18	5
2	19	1
2	20	2
2	21	1
2	22	1
2	23	1
2	24	0
3	1	3
3	2	1
3	3	4
3	4	2
3	5	0
3	6	1
3	7	1
3	8	1
3	9	3
3	10	3
3	11	2
3	12	2
3	13	3
3	14	3
3	15	3
3	16	2
3	17	3
3	18	5
3	19	1
3	20	3
3	21	2
3	22	1
3	23	1
3	24	1
4	1	3
4	2	3
4	3	2
4	4	1
4	5	0
4	6	3
4	7	3
4	8	3
4	9	3
4	10	3
4	11	1
4	12	2
4	13	1
4	14	3
4	15	2
4	16	2
4	17	4
4	18	4
4	19	2
4	20	0
4	21	1
4	22	1
4	23	2
4	24	2
5	1	1
5	2	1
5	3	4
5	4	1
5	5	1
5	6	1
5	7	2
5	8	1
5	9	3
5	10	2
5	11	1
5	12	1
5	13	4
5	14	2
5	15	2
5	16	3
5	17	3
5	18	3
5	19	2
5	20	4
5	21	3
5	22	2
5	23	4
5	24	1
6	1	3
6	2	0
6	3	1
6	4	2
6	5	1
6	6	1
6	7	2
6	8	0
6	9	2
6	10	2
6	11	1
6	12	1
6	13	1
6	14	1
6	15	3
6	16	3
6	17	2
6	18	5
6	19	1
6	20	3
6	21	2
6	22	1
6	23	1
6	24	2
7	1	4
7	2	0
7	3	0
7	4	0
7	5	0
7	6	2
7	7	2
7	8	1
7	9	4
7	10	3
7	11	0
7	12	2
7	13	3
7	14	1
7	15	2
7	16	1
7	17	2
7	18	8
7	19	2
7	20	3
7	21	5
7	22	3
7	23	5
7	24	2
