day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	1
1	7	0
1	8	0
1	9	0
1	10	1
1	11	1
1	12	0
1	13	0
1	14	0
1	15	1
1	16	1
1	17	2
1	18	2
1	19	2
1	20	1
1	21	2
1	22	2
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	1
2	9	0
2	10	1
2	11	0
2	12	1
2	13	1
2	14	2
2	15	0
2	16	1
2	17	1
2	18	0
2	19	0
2	20	1
2	21	0
2	22	2
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	0
3	9	1
3	10	1
3	11	0
3	12	0
3	13	1
3	14	0
3	15	0
3	16	1
3	17	1
3	18	1
3	19	1
3	20	1
3	21	1
3	22	1
3	23	1
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	5
4	7	0
4	8	3
4	9	2
4	10	2
4	11	0
4	12	1
4	13	1
4	14	2
4	15	3
4	16	2
4	17	2
4	18	1
4	19	3
4	20	4
4	21	0
4	22	5
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	3
5	7	2
5	8	0
5	9	0
5	10	3
5	11	1
5	12	0
5	13	3
5	14	1
5	15	0
5	16	2
5	17	1
5	18	0
5	19	1
5	20	2
5	21	1
5	22	4
5	23	2
5	24	1
6	1	0
6	2	0
6	3	1
6	4	0
6	5	0
6	6	0
6	7	1
6	8	1
6	9	1
6	10	0
6	11	1
6	12	1
6	13	0
6	14	0
6	15	5
6	16	9
6	17	3
6	18	3
6	19	4
6	20	4
6	21	1
6	22	2
6	23	3
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	9
7	9	3
7	10	0
7	11	2
7	12	1
7	13	1
7	14	4
7	15	1
7	16	9
7	17	3
7	18	2
7	19	4
7	20	1
7	21	1
7	22	2
7	23	0
7	24	0
