day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	2
1	9	3
1	10	9
1	11	5
1	12	7
1	13	7
1	14	10
1	15	2
1	16	9
1	17	2
1	18	4
1	19	4
1	20	2
1	21	4
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	2
2	10	5
2	11	9
2	12	3
2	13	4
2	14	4
2	15	4
2	16	1
2	17	5
2	18	2
2	19	1
2	20	0
2	21	4
2	22	3
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	2
3	9	3
3	10	10
3	11	3
3	12	6
3	13	4
3	14	6
3	15	3
3	16	5
3	17	7
3	18	3
3	19	3
3	20	1
3	21	4
3	22	4
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	5
4	10	9
4	11	6
4	12	7
4	13	5
4	14	6
4	15	5
4	16	7
4	17	5
4	18	1
4	19	2
4	20	2
4	21	2
4	22	2
4	23	0
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	0
5	8	0
5	9	5
5	10	3
5	11	6
5	12	8
5	13	6
5	14	5
5	15	5
5	16	5
5	17	3
5	18	0
5	19	3
5	20	1
5	21	3
5	22	1
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	2
6	10	4
6	11	3
6	12	4
6	13	8
6	14	5
6	15	3
6	16	3
6	17	3
6	18	2
6	19	0
6	20	0
6	21	0
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	4
7	9	2
7	10	3
7	11	4
7	12	8
7	13	4
7	14	5
7	15	5
7	16	1
7	17	7
7	18	2
7	19	2
7	20	2
7	21	3
7	22	2
7	23	0
7	24	0
