day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	5
1	11	4
1	12	1
1	13	0
1	14	2
1	15	0
1	16	2
1	17	1
1	18	1
1	19	3
1	20	2
1	21	0
1	22	1
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	0
2	10	0
2	11	4
2	12	1
2	13	0
2	14	0
2	15	0
2	16	2
2	17	3
2	18	2
2	19	0
2	20	1
2	21	9
2	22	0
2	23	7
2	24	2
3	1	0
3	2	0
3	3	0
3	4	0
3	5	1
3	6	1
3	7	0
3	8	0
3	9	5
3	10	1
3	11	3
3	12	1
3	13	7
3	14	5
3	15	0
3	16	0
3	17	0
3	18	8
3	19	5
3	20	3
3	21	0
3	22	1
3	23	0
3	24	6
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	3
4	10	2
4	11	0
4	12	4
4	13	0
4	14	7
4	15	3
4	16	0
4	17	0
4	18	4
4	19	1
4	20	2
4	21	1
4	22	0
4	23	6
4	24	2
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	3
5	8	0
5	9	2
5	10	3
5	11	5
5	12	1
5	13	0
5	14	0
5	15	4
5	16	2
5	17	3
5	18	6
5	19	3
5	20	4
5	21	3
5	22	1
5	23	4
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	1
6	11	0
6	12	2
6	13	1
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	5
6	20	7
6	21	2
6	22	3
6	23	0
6	24	3
7	1	0
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	3
7	12	0
7	13	0
7	14	1
7	15	4
7	16	1
7	17	5
7	18	0
7	19	1
7	20	1
7	21	0
7	22	5
7	23	0
7	24	2
