day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	1
1	10	1
1	11	0
1	12	0
1	13	1
1	14	1
1	15	0
1	16	1
1	17	1
1	18	0
1	19	3
1	20	1
1	21	1
1	22	0
1	23	1
1	24	0
2	1	1
2	2	1
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	2
2	9	1
2	10	2
2	11	2
2	12	4
2	13	1
2	14	4
2	15	1
2	16	1
2	17	0
2	18	1
2	19	2
2	20	2
2	21	2
2	22	0
2	23	1
2	24	2
3	1	0
3	2	0
3	3	0
3	4	0
3	5	1
3	6	1
3	7	2
3	8	1
3	9	0
3	10	0
3	11	5
3	12	1
3	13	4
3	14	0
3	15	3
3	16	0
3	17	2
3	18	0
3	19	3
3	20	0
3	21	3
3	22	1
3	23	1
3	24	4
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	2
4	8	0
4	9	1
4	10	3
4	11	1
4	12	3
4	13	2
4	14	0
4	15	2
4	16	3
4	17	1
4	18	0
4	19	5
4	20	1
4	21	2
4	22	0
4	23	0
4	24	5
5	1	0
5	2	1
5	3	0
5	4	0
5	5	0
5	6	1
5	7	3
5	8	0
5	9	4
5	10	1
5	11	1
5	12	1
5	13	2
5	14	2
5	15	1
5	16	1
5	17	3
5	18	1
5	19	0
5	20	4
5	21	1
5	22	0
5	23	2
5	24	1
6	1	1
6	2	1
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	2
6	10	2
6	11	0
6	12	2
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	2
6	20	1
6	21	0
6	22	0
6	23	0
6	24	1
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	3
7	9	0
7	10	0
7	11	3
7	12	1
7	13	1
7	14	1
7	15	0
7	16	1
7	17	1
7	18	0
7	19	1
7	20	2
7	21	0
7	22	2
7	23	0
7	24	0
