day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	3
1	9	2
1	10	3
1	11	0
1	12	1
1	13	2
1	14	3
1	15	0
1	16	0
1	17	0
1	18	3
1	19	4
1	20	8
1	21	1
1	22	5
1	23	0
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	5
2	10	2
2	11	3
2	12	1
2	13	0
2	14	2
2	15	2
2	16	3
2	17	4
2	18	1
2	19	3
2	20	6
2	21	4
2	22	3
2	23	5
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	3
3	10	0
3	11	1
3	12	2
3	13	2
3	14	1
3	15	2
3	16	1
3	17	1
3	18	1
3	19	3
3	20	2
3	21	4
3	22	6
3	23	2
3	24	0
4	1	0
4	2	0
4	3	1
4	4	0
4	5	0
4	6	0
4	7	0
4	8	2
4	9	0
4	10	5
4	11	2
4	12	1
4	13	1
4	14	3
4	15	2
4	16	0
4	17	4
4	18	4
4	19	3
4	20	1
4	21	4
4	22	4
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	2
5	10	2
5	11	0
5	12	3
5	13	1
5	14	4
5	15	2
5	16	3
5	17	4
5	18	1
5	19	3
5	20	1
5	21	1
5	22	6
5	23	2
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	0
6	12	1
6	13	1
6	14	0
6	15	2
6	16	2
6	17	1
6	18	0
6	19	2
6	20	0
6	21	2
6	22	2
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	0
7	9	0
7	10	5
7	11	1
7	12	4
7	13	2
7	14	3
7	15	2
7	16	1
7	17	3
7	18	4
7	19	0
7	20	4
7	21	10
7	22	5
7	23	2
7	24	0
