day	hour	value
1	1	0
1	2	4
1	3	0
1	4	1
1	5	3
1	6	0
1	7	0
1	8	3
1	9	0
1	10	1
1	11	2
1	12	1
1	13	3
1	14	2
1	15	2
1	16	1
1	17	2
1	18	0
1	19	2
1	20	3
1	21	0
1	22	0
1	23	2
1	24	0
2	1	1
2	2	2
2	3	0
2	4	0
2	5	2
2	6	0
2	7	0
2	8	2
2	9	0
2	10	0
2	11	2
2	12	3
2	13	1
2	14	2
2	15	1
2	16	0
2	17	3
2	18	2
2	19	2
2	20	2
2	21	2
2	22	1
2	23	3
2	24	2
3	1	0
3	2	0
3	3	2
3	4	0
3	5	1
3	6	2
3	7	0
3	8	0
3	9	2
3	10	0
3	11	0
3	12	2
3	13	0
3	14	1
3	15	2
3	16	0
3	17	0
3	18	2
3	19	0
3	20	0
3	21	3
3	22	1
3	23	0
3	24	5
4	1	0
4	2	0
4	3	2
4	4	0
4	5	0
4	6	2
4	7	0
4	8	0
4	9	2
4	10	0
4	11	0
4	12	2
4	13	0
4	14	0
4	15	2
4	16	0
4	17	0
4	18	9
4	19	0
4	20	0
4	21	2
4	22	1
4	23	0
4	24	3
5	1	0
5	2	0
5	3	4
5	4	1
5	5	0
5	6	0
5	7	0
5	8	2
5	9	2
5	10	0
5	11	2
5	12	2
5	13	0
5	14	1
5	15	1
5	16	0
5	17	1
5	18	2
5	19	1
5	20	1
5	21	1
5	22	2
5	23	0
5	24	1
6	1	18
6	2	0
6	3	2
6	4	1
6	5	1
6	6	2
6	7	1
6	8	0
6	9	2
6	10	0
6	11	0
6	12	2
6	13	0
6	14	3
6	15	2
6	16	2
6	17	0
6	18	2
6	19	0
6	20	0
6	21	2
6	22	1
6	23	0
6	24	2
7	1	0
7	2	0
7	3	2
7	4	0
7	5	0
7	6	2
7	7	0
7	8	0
7	9	2
7	10	1
7	11	6
7	12	2
7	13	0
7	14	0
7	15	3
7	16	0
7	17	0
7	18	2
7	19	0
7	20	0
7	21	2
7	22	0
7	23	0
7	24	2
