day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	3
1	11	3
1	12	9
1	13	5
1	14	2
1	15	2
1	16	4
1	17	1
1	18	3
1	19	1
1	20	0
1	21	5
1	22	3
1	23	0
1	24	0
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	2
2	10	3
2	11	1
2	12	2
2	13	5
2	14	0
2	15	0
2	16	2
2	17	3
2	18	3
2	19	1
2	20	1
2	21	1
2	22	0
2	23	1
2	24	2
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	2
3	10	5
3	11	2
3	12	11
3	13	16
3	14	2
3	15	3
3	16	3
3	17	1
3	18	2
3	19	0
3	20	1
3	21	2
3	22	3
3	23	4
3	24	0
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	2
4	11	2
4	12	5
4	13	3
4	14	0
4	15	2
4	16	4
4	17	4
4	18	3
4	19	0
4	20	1
4	21	9
4	22	0
4	23	4
4	24	7
5	1	6
5	2	0
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	6
5	11	0
5	12	4
5	13	3
5	14	2
5	15	1
5	16	8
5	17	11
5	18	10
5	19	1
5	20	0
5	21	16
5	22	4
5	23	0
5	24	1
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	1
6	13	3
6	14	5
6	15	2
6	16	1
6	17	21
6	18	2
6	19	4
6	20	3
6	21	1
6	22	3
6	23	0
6	24	1
7	1	1
7	2	1
7	3	2
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	2
7	13	6
7	14	9
7	15	10
7	16	7
7	17	5
7	18	6
7	19	3
7	20	6
7	21	2
7	22	1
7	23	0
7	24	3
