day	hour	value
1	1	2
1	2	1
1	3	2
1	4	0
1	5	1
1	6	2
1	7	1
1	8	0
1	9	0
1	10	3
1	11	0
1	12	1
1	13	2
1	14	1
1	15	0
1	16	4
1	17	4
1	18	5
1	19	2
1	20	4
1	21	0
1	22	3
1	23	5
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
2	15	0
2	16	0
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	22
4	17	5
4	18	5
4	19	5
4	20	4
4	21	13
4	22	9
4	23	3
4	24	1
5	1	1
5	2	2
5	3	2
5	4	0
5	5	1
5	6	1
5	7	5
5	8	2
5	9	2
5	10	3
5	11	0
5	12	1
5	13	2
5	14	3
5	15	3
5	16	3
5	17	4
5	18	2
5	19	1
5	20	6
5	21	0
5	22	4
5	23	6
5	24	7
6	1	3
6	2	3
6	3	0
6	4	1
6	5	5
6	6	2
6	7	4
6	8	2
6	9	2
6	10	1
6	11	2
6	12	6
6	13	6
6	14	2
6	15	3
6	16	2
6	17	1
6	18	2
6	19	0
6	20	0
6	21	1
6	22	0
6	23	5
6	24	2
7	1	2
7	2	0
7	3	0
7	4	0
7	5	0
7	6	2
7	7	3
7	8	4
7	9	9
7	10	5
7	11	2
7	12	7
7	13	12
7	14	7
7	15	0
7	16	5
7	17	4
7	18	5
7	19	1
7	20	1
7	21	2
7	22	6
7	23	5
7	24	5
