day	hour	value
1	1	0
1	2	1
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	2
1	11	9
1	12	4
1	13	4
1	14	6
1	15	0
1	16	4
1	17	1
1	18	0
1	19	0
1	20	0
1	21	0
1	22	1
1	23	1
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	7
2	11	11
2	12	8
2	13	2
2	14	1
2	15	4
2	16	6
2	17	1
2	18	3
2	19	4
2	20	1
2	21	1
2	22	4
2	23	3
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	2
3	11	7
3	12	3
3	13	0
3	14	1
3	15	0
3	16	3
3	17	1
3	18	0
3	19	1
3	20	1
3	21	3
3	22	0
3	23	0
3	24	5
4	1	0
4	2	1
4	3	0
4	4	4
4	5	0
4	6	0
4	7	1
4	8	0
4	9	0
4	10	4
4	11	1
4	12	3
4	13	5
4	14	3
4	15	1
4	16	2
4	17	5
4	18	1
4	19	0
4	20	2
4	21	2
4	22	2
4	23	3
4	24	3
5	1	6
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	2
5	10	7
5	11	3
5	12	1
5	13	3
5	14	0
5	15	4
5	16	3
5	17	3
5	18	0
5	19	2
5	20	2
5	21	1
5	22	2
5	23	1
5	24	2
6	1	5
6	2	0
6	3	1
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	2
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	1
6	17	0
6	18	1
6	19	1
6	20	1
6	21	4
6	22	0
6	23	3
6	24	0
7	1	3
7	2	1
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	2
7	18	2
7	19	1
7	20	1
7	21	1
7	22	1
7	23	1
7	24	2
