day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	8
1	10	0
1	11	3
1	12	11
1	13	3
1	14	6
1	15	11
1	16	0
1	17	5
1	18	9
1	19	5
1	20	9
1	21	7
1	22	3
1	23	0
1	24	0
2	1	0
2	2	1
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	7
2	10	1
2	11	1
2	12	2
2	13	6
2	14	5
2	15	9
2	16	1
2	17	3
2	18	7
2	19	7
2	20	11
2	21	6
2	22	4
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	9
3	10	0
3	11	1
3	12	0
3	13	3
3	14	4
3	15	3
3	16	1
3	17	2
3	18	6
3	19	7
3	20	5
3	21	2
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	8
4	10	1
4	11	2
4	12	9
4	13	5
4	14	5
4	15	5
4	16	0
4	17	1
4	18	9
4	19	6
4	20	3
4	21	4
4	22	3
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	9
5	10	2
5	11	3
5	12	4
5	13	2
5	14	2
5	15	3
5	16	0
5	17	6
5	18	4
5	19	5
5	20	7
5	21	4
5	22	2
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	9
6	10	0
6	11	0
6	12	2
6	13	2
6	14	2
6	15	1
6	16	1
6	17	1
6	18	3
6	19	2
6	20	2
6	21	3
6	22	0
6	23	0
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	8
7	10	0
7	11	0
7	12	4
7	13	2
7	14	0
7	15	6
7	16	1
7	17	3
7	18	2
7	19	1
7	20	2
7	21	2
7	22	0
7	23	0
7	24	1
