day	hour	value
1	1	2
1	2	1
1	3	0
1	4	1
1	5	1
1	6	5
1	7	0
1	8	2
1	9	1
1	10	6
1	11	1
1	12	5
1	13	3
1	14	3
1	15	3
1	16	6
1	17	6
1	18	4
1	19	5
1	20	10
1	21	9
1	22	8
1	23	1
1	24	3
2	1	1
2	2	5
2	3	1
2	4	2
2	5	2
2	6	5
2	7	4
2	8	2
2	9	4
2	10	3
2	11	1
2	12	4
2	13	3
2	14	3
2	15	4
2	16	2
2	17	3
2	18	7
2	19	11
2	20	24
2	21	9
2	22	4
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	0
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	7
5	8	4
5	9	5
5	10	3
5	11	6
5	12	3
5	13	4
5	14	4
5	15	4
5	16	5
5	17	3
5	18	0
5	19	2
5	20	4
5	21	5
5	22	3
5	23	2
5	24	1
6	1	1
6	2	1
6	3	1
6	4	5
6	5	1
6	6	1
6	7	6
6	8	8
6	9	4
6	10	4
6	11	5
6	12	4
6	13	3
6	14	1
6	15	2
6	16	5
6	17	15
6	18	2
6	19	11
6	20	5
6	21	3
6	22	4
6	23	2
6	24	1
7	1	1
7	2	1
7	3	0
7	4	1
7	5	3
7	6	3
7	7	4
7	8	1
7	9	5
7	10	2
7	11	3
7	12	5
7	13	43
7	14	1
7	15	9
7	16	13
7	17	0
7	18	1
7	19	4
7	20	5
7	21	3
7	22	1
7	23	5
7	24	1
