day	hour	value
1	1	3
1	2	1
1	3	0
1	4	0
1	5	1
1	6	0
1	7	0
1	8	1
1	9	2
1	10	4
1	11	6
1	12	5
1	13	6
1	14	9
1	15	2
1	16	4
1	17	3
1	18	3
1	19	5
1	20	4
1	21	2
1	22	1
1	23	2
1	24	2
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	5
2	10	7
2	11	11
2	12	5
2	13	4
2	14	4
2	15	4
2	16	2
2	17	4
2	18	2
2	19	7
2	20	6
2	21	2
2	22	1
2	23	3
2	24	0
3	1	1
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	1
3	10	6
3	11	4
3	12	1
3	13	6
3	14	10
3	15	2
3	16	6
3	17	5
3	18	0
3	19	4
3	20	5
3	21	4
3	22	1
3	23	2
3	24	2
4	1	1
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	4
4	11	3
4	12	7
4	13	1
4	14	5
4	15	3
4	16	6
4	17	2
4	18	3
4	19	1
4	20	5
4	21	8
4	22	2
4	23	1
4	24	2
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	3
5	10	5
5	11	4
5	12	5
5	13	5
5	14	2
5	15	3
5	16	3
5	17	7
5	18	2
5	19	3
5	20	3
5	21	1
5	22	2
5	23	3
5	24	0
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	6
6	11	3
6	12	3
6	13	3
6	14	4
6	15	8
6	16	0
6	17	8
6	18	1
6	19	1
6	20	0
6	21	0
6	22	0
6	23	1
6	24	2
7	1	0
7	2	1
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	0
7	10	0
7	11	0
7	12	6
7	13	4
7	14	2
7	15	0
7	16	3
7	17	4
7	18	3
7	19	3
7	20	2
7	21	4
7	22	3
7	23	8
7	24	3
