day	hour	value
1	1	1
1	2	1
1	3	11
1	4	6
1	5	7
1	6	3
1	7	1
1	8	4
1	9	4
1	10	2
1	11	1
1	12	0
1	13	1
1	14	1
1	15	0
1	16	0
1	17	0
1	18	0
1	19	0
1	20	0
1	21	1
1	22	0
1	23	0
1	24	0
2	1	0
2	2	1
2	3	1
2	4	2
2	5	2
2	6	8
2	7	2
2	8	6
2	9	1
2	10	4
2	11	2
2	12	0
2	13	0
2	14	0
2	15	0
2	16	2
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	5
3	4	3
3	5	2
3	6	9
3	7	4
3	8	5
3	9	3
3	10	7
3	11	1
3	12	0
3	13	2
3	14	0
3	15	0
3	16	1
3	17	0
3	18	1
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	5
4	3	3
4	4	5
4	5	7
4	6	2
4	7	8
4	8	1
4	9	3
4	10	4
4	11	2
4	12	0
4	13	1
4	14	1
4	15	0
4	16	0
4	17	4
4	18	2
4	19	3
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	2
5	3	7
5	4	3
5	5	2
5	6	4
5	7	9
5	8	4
5	9	7
5	10	14
5	11	0
5	12	1
5	13	1
5	14	3
5	15	0
5	16	9
5	17	4
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	1
6	5	0
6	6	0
6	7	2
6	8	5
6	9	1
6	10	0
6	11	0
6	12	2
6	13	1
6	14	0
6	15	6
6	16	0
6	17	1
6	18	4
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	1
7	4	6
7	5	0
7	6	10
7	7	1
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	1
7	16	0
7	17	0
7	18	1
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
