day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	7
1	7	6
1	8	5
1	9	4
1	10	2
1	11	1
1	12	2
1	13	6
1	14	1
1	15	5
1	16	1
1	17	1
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	3
2	6	3
2	7	4
2	8	6
2	9	2
2	10	1
2	11	1
2	12	1
2	13	1
2	14	2
2	15	6
2	16	3
2	17	0
2	18	1
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	5
3	7	8
3	8	13
3	9	1
3	10	0
3	11	1
3	12	0
3	13	1
3	14	6
3	15	5
3	16	3
3	17	1
3	18	1
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	4
4	6	3
4	7	12
4	8	5
4	9	3
4	10	3
4	11	2
4	12	2
4	13	4
4	14	7
4	15	7
4	16	5
4	17	3
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	2
5	4	1
5	5	2
5	6	6
5	7	9
5	8	6
5	9	3
5	10	4
5	11	0
5	12	7
5	13	10
5	14	3
5	15	7
5	16	4
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	1
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	1
6	5	2
6	6	5
6	7	6
6	8	8
6	9	1
6	10	1
6	11	2
6	12	4
6	13	1
6	14	1
6	15	4
6	16	1
6	17	1
6	18	0
6	19	1
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	1
7	5	0
7	6	5
7	7	6
7	8	4
7	9	3
7	10	2
7	11	1
7	12	2
7	13	0
7	14	2
7	15	3
7	16	2
7	17	1
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
