day	hour	value
1	1	2
1	2	0
1	3	0
1	4	1
1	5	0
1	6	0
1	7	0
1	8	2
1	9	0
1	10	6
1	11	3
1	12	8
1	13	5
1	14	2
1	15	3
1	16	2
1	17	6
1	18	1
1	19	1
1	20	2
1	21	11
1	22	11
1	23	7
1	24	2
2	1	2
2	2	0
2	3	1
2	4	1
2	5	0
2	6	0
2	7	0
2	8	4
2	9	4
2	10	3
2	11	2
2	12	5
2	13	3
2	14	5
2	15	8
2	16	2
2	17	2
2	18	0
2	19	4
2	20	5
2	21	2
2	22	1
2	23	6
2	24	2
3	1	2
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	3
3	9	5
3	10	1
3	11	5
3	12	4
3	13	3
3	14	4
3	15	1
3	16	5
3	17	3
3	18	7
3	19	3
3	20	1
3	21	3
3	22	3
3	23	4
3	24	4
4	1	4
4	2	0
4	3	0
4	4	1
4	5	0
4	6	0
4	7	0
4	8	4
4	9	2
4	10	10
4	11	5
4	12	3
4	13	1
4	14	2
4	15	3
4	16	3
4	17	4
4	18	2
4	19	6
4	20	2
4	21	2
4	22	3
4	23	9
4	24	7
5	1	1
5	2	1
5	3	0
5	4	0
5	5	1
5	6	0
5	7	0
5	8	0
5	9	8
5	10	3
5	11	4
5	12	5
5	13	2
5	14	3
5	15	2
5	16	0
5	17	3
5	18	2
5	19	5
5	20	3
5	21	4
5	22	3
5	23	4
5	24	7
6	1	4
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	2
6	10	5
6	11	4
6	12	6
6	13	1
6	14	6
6	15	0
6	16	2
6	17	1
6	18	5
6	19	1
6	20	2
6	21	3
6	22	2
6	23	5
6	24	3
7	1	5
7	2	2
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	1
7	10	5
7	11	5
7	12	1
7	13	3
7	14	2
7	15	5
7	16	5
7	17	6
7	18	4
7	19	5
7	20	5
7	21	6
7	22	12
7	23	7
7	24	5
