day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	3
1	9	3
1	10	8
1	11	9
1	12	3
1	13	4
1	14	5
1	15	5
1	16	5
1	17	4
1	18	3
1	19	2
1	20	1
1	21	2
1	22	1
1	23	3
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	4
2	9	6
2	10	9
2	11	2
2	12	6
2	13	3
2	14	1
2	15	4
2	16	10
2	17	2
2	18	3
2	19	5
2	20	2
2	21	0
2	22	2
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	4
3	8	1
3	9	2
3	10	9
3	11	10
3	12	6
3	13	9
3	14	2
3	15	3
3	16	7
3	17	2
3	18	3
3	19	4
3	20	1
3	21	2
3	22	1
3	23	3
3	24	1
4	1	0
4	2	0
4	3	1
4	4	0
4	5	0
4	6	0
4	7	1
4	8	2
4	9	2
4	10	10
4	11	2
4	12	3
4	13	4
4	14	3
4	15	3
4	16	6
4	17	2
4	18	1
4	19	3
4	20	0
4	21	2
4	22	4
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	2
5	8	3
5	9	5
5	10	6
5	11	17
5	12	3
5	13	7
5	14	2
5	15	3
5	16	3
5	17	1
5	18	6
5	19	1
5	20	2
5	21	1
5	22	2
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	2
6	10	7
6	11	2
6	12	2
6	13	1
6	14	2
6	15	0
6	16	1
6	17	2
6	18	3
6	19	1
6	20	0
6	21	2
6	22	1
6	23	1
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	3
7	11	1
7	12	0
7	13	3
7	14	0
7	15	0
7	16	3
7	17	3
7	18	0
7	19	2
7	20	0
7	21	1
7	22	1
7	23	0
7	24	1
