day	hour	value
1	1	0
1	2	0
1	3	3
1	4	11
1	5	2
1	6	1
1	7	2
1	8	4
1	9	0
1	10	2
1	11	3
1	12	5
1	13	3
1	14	0
1	15	6
1	16	5
1	17	2
1	18	5
1	19	3
1	20	4
1	21	0
1	22	1
1	23	4
1	24	2
2	1	1
2	2	0
2	3	5
2	4	11
2	5	0
2	6	0
2	7	2
2	8	5
2	9	5
2	10	3
2	11	3
2	12	5
2	13	2
2	14	0
2	15	0
2	16	7
2	17	4
2	18	2
2	19	2
2	20	3
2	21	2
2	22	5
2	23	4
2	24	2
3	1	1
3	2	4
3	3	0
3	4	10
3	5	0
3	6	0
3	7	1
3	8	4
3	9	0
3	10	2
3	11	8
3	12	4
3	13	2
3	14	1
3	15	0
3	16	4
3	17	2
3	18	3
3	19	1
3	20	5
3	21	0
3	22	1
3	23	3
3	24	2
4	1	1
4	2	0
4	3	0
4	4	11
4	5	0
4	6	0
4	7	0
4	8	4
4	9	0
4	10	2
4	11	1
4	12	5
4	13	2
4	14	1
4	15	1
4	16	5
4	17	1
4	18	3
4	19	0
4	20	4
4	21	0
4	22	1
4	23	3
4	24	3
5	1	2
5	2	1
5	3	2
5	4	11
5	5	0
5	6	0
5	7	0
5	8	5
5	9	1
5	10	4
5	11	10
5	12	6
5	13	3
5	14	0
5	15	2
5	16	4
5	17	0
5	18	6
5	19	2
5	20	6
5	21	65
5	22	2
5	23	2
5	24	3
6	1	0
6	2	0
6	3	0
6	4	6
6	5	0
6	6	0
6	7	1
6	8	4
6	9	0
6	10	0
6	11	1
6	12	5
6	13	2
6	14	0
6	15	0
6	16	3
6	17	0
6	18	9
6	19	0
6	20	4
6	21	0
6	22	0
6	23	3
6	24	35
7	1	18
7	2	0
7	3	0
7	4	14
7	5	0
7	6	0
7	7	1
7	8	6
7	9	3
7	10	5
7	11	2
7	12	6
7	13	3
7	14	1
7	15	0
7	16	9
7	17	10
7	18	5
7	19	0
7	20	6
7	21	1
7	22	0
7	23	4
7	24	4
