day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	4
1	11	1
1	12	8
1	13	2
1	14	3
1	15	1
1	16	1
1	17	0
1	18	1
1	19	0
1	20	1
1	21	5
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	6
2	11	3
2	12	1
2	13	6
2	14	3
2	15	1
2	16	5
2	17	4
2	18	3
2	19	2
2	20	2
2	21	5
2	22	5
2	23	3
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	7
3	11	10
3	12	11
3	13	11
3	14	4
3	15	6
3	16	2
3	17	0
3	18	4
3	19	48
3	20	2
3	21	0
3	22	1
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	4
4	10	2
4	11	0
4	12	7
4	13	7
4	14	9
4	15	5
4	16	3
4	17	1
4	18	3
4	19	3
4	20	0
4	21	1
4	22	2
4	23	3
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	3
5	11	3
5	12	15
5	13	12
5	14	5
5	15	1
5	16	1
5	17	0
5	18	2
5	19	6
5	20	0
5	21	1
5	22	0
5	23	2
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	3
6	11	1
6	12	4
6	13	4
6	14	4
6	15	7
6	16	1
6	17	2
6	18	0
6	19	1
6	20	1
6	21	4
6	22	1
6	23	7
6	24	2
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	1
7	12	1
7	13	6
7	14	0
7	15	0
7	16	0
7	17	1
7	18	0
7	19	3
7	20	5
7	21	1
7	22	0
7	23	1
7	24	2
