day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	3
1	9	4
1	10	14
1	11	7
1	12	5
1	13	2
1	14	2
1	15	2
1	16	0
1	17	0
1	18	4
1	19	2
1	20	0
1	21	3
1	22	0
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	0
2	8	4
2	9	8
2	10	16
2	11	1
2	12	3
2	13	1
2	14	0
2	15	0
2	16	1
2	17	0
2	18	3
2	19	12
2	20	0
2	21	12
2	22	0
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	1
3	9	17
3	10	8
3	11	4
3	12	1
3	13	0
3	14	0
3	15	0
3	16	0
3	17	2
3	18	4
3	19	4
3	20	1
3	21	9
3	22	0
3	23	4
3	24	3
4	1	0
4	2	0
4	3	0
4	4	0
4	5	3
4	6	0
4	7	0
4	8	5
4	9	10
4	10	3
4	11	8
4	12	1
4	13	3
4	14	3
4	15	0
4	16	0
4	17	0
4	18	0
4	19	3
4	20	0
4	21	2
4	22	3
4	23	9
4	24	6
5	1	0
5	2	0
5	3	4
5	4	4
5	5	0
5	6	0
5	7	8
5	8	1
5	9	8
5	10	21
5	11	0
5	12	6
5	13	5
5	14	11
5	15	0
5	16	0
5	17	0
5	18	0
5	19	0
5	20	5
5	21	0
5	22	1
5	23	4
5	24	0
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	16
6	9	12
6	10	11
6	11	10
6	12	3
6	13	0
6	14	0
6	15	3
6	16	1
6	17	0
6	18	3
6	19	3
6	20	1
6	21	1
6	22	1
6	23	0
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	4
7	9	3
7	10	3
7	11	11
7	12	0
7	13	3
7	14	0
7	15	4
7	16	4
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	10
7	24	6
