day	hour	value
1	1	0
1	2	1
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	10
1	12	8
1	13	4
1	14	2
1	15	6
1	16	0
1	17	1
1	18	4
1	19	7
1	20	4
1	21	0
1	22	2
1	23	3
1	24	5
2	1	4
2	2	2
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	3
2	11	7
2	12	5
2	13	9
2	14	1
2	15	7
2	16	0
2	17	1
2	18	0
2	19	7
2	20	6
2	21	4
2	22	2
2	23	2
2	24	13
3	1	6
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	4
3	12	4
3	13	4
3	14	1
3	15	6
3	16	1
3	17	3
3	18	1
3	19	6
3	20	5
3	21	2
3	22	6
3	23	1
3	24	7
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	1
4	11	10
4	12	1
4	13	1
4	14	3
4	15	7
4	16	3
4	17	1
4	18	8
4	19	9
4	20	9
4	21	1
4	22	1
4	23	1
4	24	5
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	8
5	12	8
5	13	18
5	14	2
5	15	5
5	16	2
5	17	0
5	18	0
5	19	7
5	20	3
5	21	1
5	22	2
5	23	0
5	24	4
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	2
6	11	1
6	12	4
6	13	4
6	14	2
6	15	6
6	16	1
6	17	2
6	18	4
6	19	7
6	20	3
6	21	3
6	22	1
6	23	5
6	24	2
7	1	1
7	2	3
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	4
7	13	3
7	14	2
7	15	5
7	16	4
7	17	4
7	18	1
7	19	2
7	20	5
7	21	0
7	22	1
7	23	0
7	24	2
