day	hour	value
1	1	8
1	2	9
1	3	10
1	4	6
1	5	8
1	6	8
1	7	4
1	8	6
1	9	4
1	10	4
1	11	9
1	12	6
1	13	8
1	14	7
1	15	7
1	16	8
1	17	9
1	18	4
1	19	10
1	20	8
1	21	10
1	22	7
1	23	9
1	24	3
2	1	5
2	2	8
2	3	7
2	4	4
2	5	7
2	6	8
2	7	10
2	8	4
2	9	10
2	10	9
2	11	6
2	12	5
2	13	4
2	14	10
2	15	8
2	16	8
2	17	9
2	18	6
2	19	6
2	20	4
2	21	8
2	22	10
2	23	5
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	0
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	3
6	15	7
6	16	6
6	17	8
6	18	8
6	19	5
6	20	7
6	21	8
6	22	9
6	23	10
6	24	7
7	1	8
7	2	10
7	3	10
7	4	5
7	5	9
7	6	6
7	7	10
7	8	7
7	9	5
7	10	8
7	11	9
7	12	9
7	13	10
7	14	7
7	15	8
7	16	5
7	17	6
7	18	8
7	19	10
7	20	8
7	21	7
7	22	6
7	23	7
7	24	10
