day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	6
1	10	3
1	11	4
1	12	1
1	13	2
1	14	3
1	15	1
1	16	0
1	17	3
1	18	4
1	19	1
1	20	6
1	21	3
1	22	3
1	23	3
1	24	4
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	4
2	10	4
2	11	1
2	12	0
2	13	1
2	14	4
2	15	10
2	16	5
2	17	1
2	18	2
2	19	2
2	20	5
2	21	2
2	22	2
2	23	6
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	2
3	9	4
3	10	7
3	11	2
3	12	2
3	13	4
3	14	3
3	15	3
3	16	9
3	17	5
3	18	4
3	19	4
3	20	2
3	21	4
3	22	6
3	23	3
3	24	3
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	3
4	9	7
4	10	7
4	11	0
4	12	3
4	13	1
4	14	1
4	15	5
4	16	4
4	17	7
4	18	2
4	19	6
4	20	2
4	21	1
4	22	3
4	23	9
4	24	3
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	2
5	9	5
5	10	12
5	11	2
5	12	3
5	13	4
5	14	3
5	15	0
5	16	1
5	17	5
5	18	2
5	19	5
5	20	2
5	21	2
5	22	4
5	23	1
5	24	1
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	4
6	10	2
6	11	2
6	12	1
6	13	3
6	14	3
6	15	5
6	16	2
6	17	4
6	18	1
6	19	0
6	20	2
6	21	1
6	22	0
6	23	1
6	24	0
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	3
7	10	3
7	11	8
7	12	4
7	13	2
7	14	7
7	15	3
7	16	2
7	17	2
7	18	2
7	19	3
7	20	5
7	21	2
7	22	0
7	23	5
7	24	0
