day	hour	value
1	1	0
1	2	9
1	3	2
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	1
1	15	0
1	16	0
1	17	12
1	18	3
1	19	1
1	20	12
1	21	0
1	22	0
1	23	0
1	24	0
2	1	1
2	2	0
2	3	6
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	2
2	12	3
2	13	0
2	14	2
2	15	2
2	16	15
2	17	0
2	18	12
2	19	0
2	20	0
2	21	12
2	22	2
2	23	1
2	24	0
3	1	0
3	2	1
3	3	2
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	7
3	13	0
3	14	0
3	15	43
3	16	6
3	17	0
3	18	2
3	19	0
3	20	4
3	21	0
3	22	11
3	23	0
3	24	0
4	1	0
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	4
4	12	0
4	13	2
4	14	1
4	15	0
4	16	0
4	17	18
4	18	0
4	19	0
4	20	2
4	21	24
4	22	6
4	23	40
4	24	0
5	1	0
5	2	1
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	4
5	12	0
5	13	0
5	14	0
5	15	1
5	16	26
5	17	4
5	18	0
5	19	9
5	20	4
5	21	0
5	22	0
5	23	0
5	24	2
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	1
6	14	1
6	15	6
6	16	0
6	17	2
6	18	0
6	19	0
6	20	0
6	21	0
6	22	2
6	23	0
6	24	4
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	18
7	18	2
7	19	4
7	20	16
7	21	7
7	22	11
7	23	1
7	24	0
