day	hour	value
1	1	0
1	2	2
1	3	0
1	4	0
1	5	1
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	0
1	12	3
1	13	2
1	14	2
1	15	4
1	16	3
1	17	3
1	18	0
1	19	11
1	20	4
1	21	4
1	22	2
1	23	1
1	24	1
2	1	2
2	2	2
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	3
2	12	3
2	13	4
2	14	2
2	15	4
2	16	1
2	17	2
2	18	2
2	19	5
2	20	3
2	21	6
2	22	0
2	23	0
2	24	0
3	1	1
3	2	0
3	3	0
3	4	0
3	5	2
3	6	0
3	7	1
3	8	0
3	9	0
3	10	1
3	11	0
3	12	0
3	13	4
3	14	4
3	15	5
3	16	1
3	17	1
3	18	7
3	19	2
3	20	5
3	21	1
3	22	0
3	23	0
3	24	1
4	1	1
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	2
4	13	4
4	14	6
4	15	3
4	16	6
4	17	1
4	18	6
4	19	2
4	20	3
4	21	2
4	22	0
4	23	2
4	24	0
5	1	0
5	2	3
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	0
5	12	2
5	13	1
5	14	9
5	15	1
5	16	10
5	17	6
5	18	3
5	19	3
5	20	3
5	21	0
5	22	3
5	23	4
5	24	0
6	1	0
6	2	0
6	3	1
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	2
6	14	7
6	15	3
6	16	0
6	17	3
6	18	3
6	19	4
6	20	2
6	21	1
6	22	2
6	23	1
6	24	0
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	5
7	15	10
7	16	10
7	17	1
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	1
7	24	0
