day	hour	value
1	1	4
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	10
1	12	2
1	13	6
1	14	7
1	15	7
1	16	3
1	17	10
1	18	5
1	19	3
1	20	0
1	21	0
1	22	4
1	23	1
1	24	0
2	1	5
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	3
2	9	0
2	10	1
2	11	5
2	12	4
2	13	6
2	14	3
2	15	5
2	16	4
2	17	5
2	18	6
2	19	1
2	20	38
2	21	1
2	22	2
2	23	0
2	24	0
3	1	1
3	2	4
3	3	0
3	4	1
3	5	0
3	6	1
3	7	0
3	8	0
3	9	0
3	10	1
3	11	6
3	12	8
3	13	3
3	14	6
3	15	10
3	16	7
3	17	7
3	18	4
3	19	1
3	20	1
3	21	0
3	22	1
3	23	3
3	24	3
4	1	0
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	3
4	10	2
4	11	6
4	12	3
4	13	3
4	14	11
4	15	9
4	16	5
4	17	6
4	18	5
4	19	0
4	20	1
4	21	0
4	22	1
4	23	0
4	24	5
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	4
5	12	4
5	13	3
5	14	8
5	15	6
5	16	4
5	17	5
5	18	7
5	19	3
5	20	0
5	21	0
5	22	1
5	23	0
5	24	0
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	6
6	11	5
6	12	3
6	13	4
6	14	7
6	15	4
6	16	3
6	17	3
6	18	7
6	19	0
6	20	0
6	21	0
6	22	0
6	23	1
6	24	2
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	5
7	12	5
7	13	5
7	14	4
7	15	7
7	16	7
7	17	9
7	18	6
7	19	0
7	20	4
7	21	0
7	22	0
7	23	2
7	24	6
