day	hour	value
1	1	2
1	2	2
1	3	2
1	4	2
1	5	3
1	6	3
1	7	4
1	8	4
1	9	4
1	10	4
1	11	4
1	12	4
1	13	4
1	14	3
1	15	3
1	16	3
1	17	4
1	18	4
1	19	4
1	20	4
1	21	4
1	22	3
1	23	4
1	24	2
2	1	4
2	2	3
2	3	4
2	4	3
2	5	3
2	6	4
2	7	4
2	8	4
2	9	4
2	10	4
2	11	4
2	12	4
2	13	4
2	14	4
2	15	3
2	16	3
2	17	4
2	18	4
2	19	4
2	20	4
2	21	4
2	22	4
2	23	2
2	24	2
3	1	2
3	2	1
3	3	2
3	4	2
3	5	2
3	6	2
3	7	2
3	8	2
3	9	2
3	10	2
3	11	2
3	12	2
3	13	2
3	14	2
3	15	2
3	16	2
3	17	1
3	18	1
3	19	2
3	20	2
3	21	2
3	22	2
3	23	2
3	24	2
4	1	2
4	2	2
4	3	2
4	4	2
4	5	2
4	6	0
4	7	2
4	8	2
4	9	1
4	10	2
4	11	2
4	12	2
4	13	2
4	14	2
4	15	2
4	16	2
4	17	2
4	18	2
4	19	2
4	20	1
4	21	1
4	22	2
4	23	2
4	24	2
5	1	2
5	2	2
5	3	2
5	4	2
5	5	2
5	6	2
5	7	2
5	8	1
5	9	2
5	10	2
5	11	2
5	12	2
5	13	2
5	14	2
5	15	2
5	16	2
5	17	1
5	18	2
5	19	1
5	20	2
5	21	2
5	22	2
5	23	2
5	24	2
6	1	2
6	2	2
6	3	2
6	4	2
6	5	1
6	6	2
6	7	2
6	8	1
6	9	2
6	10	2
6	11	2
6	12	2
6	13	2
6	14	2
6	15	2
6	16	2
6	17	2
6	18	2
6	19	1
6	20	1
6	21	2
6	22	2
6	23	2
6	24	2
7	1	2
7	2	2
7	3	1
7	4	1
7	5	2
7	6	2
7	7	2
7	8	2
7	9	2
7	10	2
7	11	2
7	12	2
7	13	1
7	14	2
7	15	2
7	16	2
7	17	2
7	18	2
7	19	2
7	20	1
7	21	2
7	22	2
7	23	1
7	24	2
