day	hour	value
1	1	0
1	2	7
1	3	0
1	4	0
1	5	2
1	6	0
1	7	0
1	8	0
1	9	5
1	10	3
1	11	5
1	12	3
1	13	7
1	14	2
1	15	2
1	16	0
1	17	0
1	18	1
1	19	1
1	20	3
1	21	3
1	22	1
1	23	0
1	24	5
2	1	3
2	2	3
2	3	0
2	4	0
2	5	1
2	6	0
2	7	0
2	8	0
2	9	3
2	10	3
2	11	5
2	12	1
2	13	9
2	14	5
2	15	4
2	16	1
2	17	0
2	18	8
2	19	4
2	20	7
2	21	7
2	22	1
2	23	3
2	24	1
3	1	6
3	2	4
3	3	0
3	4	0
3	5	1
3	6	0
3	7	0
3	8	1
3	9	1
3	10	0
3	11	5
3	12	0
3	13	4
3	14	3
3	15	4
3	16	2
3	17	2
3	18	8
3	19	0
3	20	8
3	21	4
3	22	4
3	23	12
3	24	5
4	1	0
4	2	3
4	3	2
4	4	0
4	5	1
4	6	0
4	7	0
4	8	1
4	9	0
4	10	1
4	11	9
4	12	0
4	13	1
4	14	0
4	15	1
4	16	3
4	17	0
4	18	4
4	19	1
4	20	5
4	21	4
4	22	0
4	23	3
4	24	1
5	1	0
5	2	2
5	3	0
5	4	0
5	5	1
5	6	0
5	7	0
5	8	1
5	9	0
5	10	1
5	11	3
5	12	4
5	13	7
5	14	1
5	15	0
5	16	2
5	17	2
5	18	1
5	19	1
5	20	5
5	21	1
5	22	1
5	23	4
5	24	4
6	1	0
6	2	2
6	3	0
6	4	0
6	5	1
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	4
6	12	12
6	13	6
6	14	1
6	15	2
6	16	0
6	17	0
6	18	0
6	19	0
6	20	2
6	21	1
6	22	1
6	23	1
6	24	0
7	1	4
7	2	5
7	3	0
7	4	2
7	5	1
7	6	0
7	7	2
7	8	1
7	9	0
7	10	2
7	11	0
7	12	1
7	13	3
7	14	0
7	15	4
7	16	1
7	17	0
7	18	0
7	19	0
7	20	1
7	21	3
7	22	3
7	23	1
7	24	3
