day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	0
1	9	0
1	10	2
1	11	10
1	12	12
1	13	6
1	14	10
1	15	9
1	16	3
1	17	2
1	18	3
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	7
2	11	13
2	12	5
2	13	13
2	14	14
2	15	1
2	16	1
2	17	3
2	18	0
2	19	2
2	20	2
2	21	3
2	22	3
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	1
3	10	2
3	11	6
3	12	11
3	13	8
3	14	5
3	15	9
3	16	2
3	17	2
3	18	1
3	19	0
3	20	0
3	21	5
3	22	3
3	23	1
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	1
4	11	5
4	12	6
4	13	4
4	14	7
4	15	3
4	16	7
4	17	2
4	18	0
4	19	2
4	20	0
4	21	2
4	22	0
4	23	2
4	24	0
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	7
5	13	6
5	14	16
5	15	14
5	16	3
5	17	1
5	18	0
5	19	0
5	20	2
5	21	0
5	22	1
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	2
6	10	2
6	11	6
6	12	0
6	13	1
6	14	1
6	15	5
6	16	4
6	17	0
6	18	0
6	19	1
6	20	0
6	21	0
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	3
7	13	0
7	14	3
7	15	4
7	16	0
7	17	0
7	18	3
7	19	0
7	20	1
7	21	0
7	22	0
7	23	2
7	24	0
