day	hour	value
1	1	6
1	2	0
1	3	0
1	4	0
1	5	0
1	6	1
1	7	9
1	8	6
1	9	5
1	10	0
1	11	2
1	12	7
1	13	10
1	14	5
1	15	5
1	16	6
1	17	1
1	18	4
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	1
2	1	6
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	6
2	8	2
2	9	4
2	10	0
2	11	0
2	12	2
2	13	12
2	14	1
2	15	2
2	16	7
2	17	2
2	18	4
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	6
3	2	0
3	3	0
3	4	0
3	5	0
3	6	2
3	7	8
3	8	2
3	9	1
3	10	0
3	11	0
3	12	1
3	13	10
3	14	1
3	15	3
3	16	7
3	17	1
3	18	1
3	19	1
3	20	0
3	21	0
3	22	1
3	23	0
3	24	0
4	1	7
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	7
4	8	0
4	9	1
4	10	0
4	11	1
4	12	0
4	13	11
4	14	1
4	15	2
4	16	7
4	17	3
4	18	4
4	19	1
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	7
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	8
5	8	6
5	9	2
5	10	0
5	11	3
5	12	4
5	13	12
5	14	5
5	15	2
5	16	8
5	17	0
5	18	3
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	7
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	7
6	8	2
6	9	9
6	10	0
6	11	0
6	12	7
6	13	12
6	14	1
6	15	1
6	16	8
6	17	0
6	18	2
6	19	2
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	7
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	7
7	8	1
7	9	0
7	10	0
7	11	0
7	12	1
7	13	10
7	14	0
7	15	1
7	16	6
7	17	0
7	18	1
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	1
