day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	4
1	10	6
1	11	3
1	12	1
1	13	0
1	14	2
1	15	1
1	16	4
1	17	11
1	18	3
1	19	8
1	20	7
1	21	3
1	22	1
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	6
2	12	6
2	13	12
2	14	2
2	15	8
2	16	10
2	17	3
2	18	0
2	19	0
2	20	5
2	21	9
2	22	4
2	23	0
2	24	4
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	2
3	11	5
3	12	17
3	13	5
3	14	9
3	15	2
3	16	0
3	17	2
3	18	0
3	19	4
3	20	6
3	21	12
3	22	6
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	1
4	11	11
4	12	9
4	13	5
4	14	13
4	15	11
4	16	4
4	17	7
4	18	5
4	19	1
4	20	5
4	21	2
4	22	1
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	7
5	10	1
5	11	0
5	12	7
5	13	7
5	14	3
5	15	5
5	16	3
5	17	7
5	18	13
5	19	11
5	20	1
5	21	1
5	22	1
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	3
6	12	3
6	13	4
6	14	1
6	15	0
6	16	1
6	17	0
6	18	2
6	19	10
6	20	1
6	21	3
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	10
7	12	8
7	13	6
7	14	3
7	15	3
7	16	3
7	17	24
7	18	9
7	19	20
7	20	7
7	21	1
7	22	0
7	23	4
7	24	0
