day	hour	value
1	1	6
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	1
1	13	0
1	14	4
1	15	5
1	16	5
1	17	4
1	18	0
1	19	4
1	20	3
1	21	1
1	22	6
1	23	2
1	24	3
2	1	2
2	2	8
2	3	2
2	4	1
2	5	0
2	6	0
2	7	1
2	8	2
2	9	0
2	10	1
2	11	0
2	12	2
2	13	4
2	14	11
2	15	4
2	16	3
2	17	5
2	18	3
2	19	1
2	20	2
2	21	2
2	22	6
2	23	2
2	24	3
3	1	6
3	2	2
3	3	0
3	4	0
3	5	1
3	6	1
3	7	0
3	8	0
3	9	0
3	10	0
3	11	2
3	12	3
3	13	6
3	14	1
3	15	4
3	16	10
3	17	4
3	18	3
3	19	3
3	20	3
3	21	1
3	22	4
3	23	1
3	24	1
4	1	5
4	2	1
4	3	4
4	4	1
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	1
4	13	2
4	14	4
4	15	4
4	16	3
4	17	5
4	18	2
4	19	3
4	20	1
4	21	2
4	22	3
4	23	7
4	24	10
5	1	4
5	2	1
5	3	4
5	4	0
5	5	1
5	6	0
5	7	0
5	8	1
5	9	0
5	10	0
5	11	3
5	12	2
5	13	2
5	14	4
5	15	5
5	16	0
5	17	8
5	18	1
5	19	1
5	20	3
5	21	4
5	22	7
5	23	6
5	24	4
6	1	5
6	2	3
6	3	2
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	0
6	12	1
6	13	1
6	14	6
6	15	1
6	16	1
6	17	4
6	18	3
6	19	1
6	20	4
6	21	3
6	22	1
6	23	2
6	24	6
7	1	2
7	2	2
7	3	0
7	4	1
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	0
7	12	1
7	13	2
7	14	0
7	15	4
7	16	1
7	17	5
7	18	4
7	19	2
7	20	2
7	21	2
7	22	8
7	23	2
7	24	3
