day	hour	value
1	1	1
1	2	0
1	3	4
1	4	1
1	5	2
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	2
1	14	4
1	15	2
1	16	0
1	17	5
1	18	0
1	19	0
1	20	2
1	21	0
1	22	0
1	23	3
1	24	0
2	1	2
2	2	5
2	3	1
2	4	1
2	5	2
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	3
2	15	0
2	16	0
2	17	0
2	18	2
2	19	0
2	20	1
2	21	0
2	22	4
2	23	5
2	24	1
3	1	2
3	2	4
3	3	2
3	4	1
3	5	2
3	6	1
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	1
3	14	3
3	15	1
3	16	3
3	17	8
3	18	4
3	19	4
3	20	3
3	21	3
3	22	0
3	23	0
3	24	0
4	1	0
4	2	6
4	3	1
4	4	3
4	5	1
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	3
4	12	5
4	13	2
4	14	2
4	15	0
4	16	2
4	17	1
4	18	0
4	19	0
4	20	0
4	21	0
4	22	1
4	23	2
4	24	2
5	1	2
5	2	0
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	6
5	15	8
5	16	0
5	17	0
5	18	0
5	19	1
5	20	2
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	1
6	18	0
6	19	0
6	20	0
6	21	3
6	22	0
6	23	3
6	24	3
7	1	6
7	2	2
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	4
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	1
7	21	0
7	22	0
7	23	2
7	24	0
