day	hour	value
1	1	4
1	2	1
1	3	8
1	4	0
1	5	4
1	6	4
1	7	0
1	8	0
1	9	0
1	10	2
1	11	0
1	12	2
1	13	1
1	14	4
1	15	2
1	16	1
1	17	3
1	18	0
1	19	1
1	20	5
1	21	0
1	22	0
1	23	0
1	24	0
2	1	4
2	2	1
2	3	3
2	4	6
2	5	1
2	6	1
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	1
2	13	7
2	14	4
2	15	1
2	16	1
2	17	2
2	18	0
2	19	0
2	20	1
2	21	3
2	22	10
2	23	7
2	24	2
3	1	5
3	2	6
3	3	6
3	4	1
3	5	1
3	6	3
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	2
3	14	2
3	15	1
3	16	5
3	17	7
3	18	5
3	19	8
3	20	14
3	21	9
3	22	18
3	23	8
3	24	0
4	1	4
4	2	8
4	3	2
4	4	9
4	5	4
4	6	1
4	7	0
4	8	0
4	9	0
4	10	0
4	11	5
4	12	6
4	13	7
4	14	3
4	15	0
4	16	1
4	17	0
4	18	0
4	19	0
4	20	0
4	21	3
4	22	3
4	23	3
4	24	2
5	1	9
5	2	0
5	3	0
5	4	2
5	5	0
5	6	1
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	1
5	14	4
5	15	3
5	16	1
5	17	1
5	18	0
5	19	4
5	20	3
5	21	0
5	22	0
5	23	0
5	24	0
6	1	1
6	2	0
6	3	0
6	4	1
6	5	0
6	6	1
6	7	6
6	8	1
6	9	0
6	10	0
6	11	0
6	12	0
6	13	1
6	14	0
6	15	0
6	16	1
6	17	2
6	18	1
6	19	0
6	20	0
6	21	23
6	22	7
6	23	4
6	24	16
7	1	7
7	2	5
7	3	37
7	4	5
7	5	5
7	6	2
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	2
7	13	2
7	14	0
7	15	1
7	16	1
7	17	1
7	18	0
7	19	2
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
