day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	10
1	14	0
1	15	1
1	16	0
1	17	4
1	18	0
1	19	7
1	20	2
1	21	2
1	22	0
1	23	2
1	24	1
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	2
2	13	4
2	14	1
2	15	1
2	16	1
2	17	3
2	18	1
2	19	2
2	20	10
2	21	5
2	22	1
2	23	2
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	1
3	12	10
3	13	0
3	14	1
3	15	3
3	16	5
3	17	1
3	18	2
3	19	0
3	20	5
3	21	35
3	22	5
3	23	5
3	24	5
4	1	2
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	1
4	11	1
4	12	3
4	13	7
4	14	5
4	15	3
4	16	3
4	17	1
4	18	0
4	19	1
4	20	3
4	21	1
4	22	3
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	3
5	13	4
5	14	2
5	15	0
5	16	2
5	17	0
5	18	0
5	19	1
5	20	1
5	21	1
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	1
6	17	0
6	18	0
6	19	2
6	20	2
6	21	0
6	22	0
6	23	0
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	0
7	12	2
7	13	3
7	14	0
7	15	0
7	16	0
7	17	0
7	18	2
7	19	0
7	20	1
7	21	1
7	22	0
7	23	0
7	24	1
