day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	0
1	12	1
1	13	7
1	14	0
1	15	2
1	16	0
1	17	3
1	18	0
1	19	3
1	20	1
1	21	0
1	22	1
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	2
2	12	7
2	13	6
2	14	2
2	15	1
2	16	0
2	17	0
2	18	2
2	19	1
2	20	3
2	21	2
2	22	3
2	23	0
2	24	0
3	1	1
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	6
3	13	1
3	14	0
3	15	3
3	16	1
3	17	1
3	18	2
3	19	5
3	20	24
3	21	164
3	22	15
3	23	5
3	24	3
4	1	0
4	2	1
4	3	3
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	0
4	11	5
4	12	3
4	13	3
4	14	6
4	15	6
4	16	4
4	17	1
4	18	0
4	19	0
4	20	0
4	21	4
4	22	3
4	23	0
4	24	0
5	1	2
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	3
5	13	22
5	14	7
5	15	0
5	16	3
5	17	0
5	18	2
5	19	1
5	20	0
5	21	0
5	22	0
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	1
6	14	0
6	15	0
6	16	2
6	17	0
6	18	0
6	19	6
6	20	2
6	21	0
6	22	0
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	1
7	14	0
7	15	0
7	16	1
7	17	0
7	18	0
7	19	3
7	20	0
7	21	0
7	22	1
7	23	0
7	24	0
