day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	1
1	12	0
1	13	0
1	14	0
1	15	1
1	16	1
1	17	0
1	18	1
1	19	1
1	20	0
1	21	0
1	22	2
1	23	0
1	24	1
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	1
2	11	1
2	12	1
2	13	2
2	14	0
2	15	1
2	16	1
2	17	2
2	18	1
2	19	1
2	20	0
2	21	1
2	22	2
2	23	0
2	24	2
3	1	0
3	2	0
3	3	1
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	1
3	11	0
3	12	0
3	13	0
3	14	0
3	15	1
3	16	1
3	17	0
3	18	3
3	19	2
3	20	1
3	21	0
3	22	4
3	23	0
3	24	0
4	1	0
4	2	0
4	3	3
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	2
4	10	1
4	11	0
4	12	0
4	13	1
4	14	1
4	15	3
4	16	7
4	17	2
4	18	0
4	19	2
4	20	0
4	21	0
4	22	0
4	23	1
4	24	3
5	1	2
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	1
5	12	1
5	13	1
5	14	2
5	15	0
5	16	0
5	17	0
5	18	0
5	19	1
5	20	0
5	21	1
5	22	1
5	23	0
5	24	10
6	1	12
6	2	1
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	2
6	11	1
6	12	0
6	13	0
6	14	1
6	15	1
6	16	0
6	17	0
6	18	1
6	19	0
6	20	2
6	21	1
6	22	1
6	23	1
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	1
7	12	1
7	13	3
7	14	1
7	15	0
7	16	2
7	17	2
7	18	1
7	19	1
7	20	1
7	21	0
7	22	0
7	23	0
7	24	2
