day	hour	value
1	1	4
1	2	16
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	10
1	12	9
1	13	5
1	14	1
1	15	1
1	16	3
1	17	2
1	18	4
1	19	5
1	20	2
1	21	6
1	22	2
1	23	3
1	24	4
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	3
2	11	7
2	12	5
2	13	4
2	14	1
2	15	5
2	16	3
2	17	3
2	18	5
2	19	3
2	20	5
2	21	0
2	22	4
2	23	5
2	24	4
3	1	4
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	1
3	10	8
3	11	6
3	12	10
3	13	4
3	14	0
3	15	2
3	16	7
3	17	5
3	18	5
3	19	4
3	20	2
3	21	3
3	22	3
3	23	1
3	24	0
4	1	2
4	2	6
4	3	2
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	2
4	10	3
4	11	3
4	12	0
4	13	8
4	14	2
4	15	9
4	16	6
4	17	5
4	18	0
4	19	8
4	20	4
4	21	1
4	22	5
4	23	7
4	24	7
5	1	1
5	2	1
5	3	0
5	4	0
5	5	2
5	6	0
5	7	0
5	8	0
5	9	2
5	10	1
5	11	5
5	12	6
5	13	3
5	14	4
5	15	5
5	16	0
5	17	5
5	18	4
5	19	3
5	20	5
5	21	6
5	22	4
5	23	4
5	24	17
6	1	17
6	2	5
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	5
6	11	4
6	12	4
6	13	2
6	14	2
6	15	1
6	16	1
6	17	2
6	18	4
6	19	1
6	20	1
6	21	1
6	22	4
6	23	6
6	24	5
7	1	0
7	2	3
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	4
7	11	3
7	12	1
7	13	6
7	14	4
7	15	1
7	16	5
7	17	7
7	18	2
7	19	2
7	20	2
7	21	2
7	22	1
7	23	2
7	24	4
