day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	10
1	9	5
1	10	1
1	11	1
1	12	4
1	13	3
1	14	2
1	15	2
1	16	4
1	17	10
1	18	2
1	19	0
1	20	3
1	21	1
1	22	1
1	23	0
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	5
2	9	1
2	10	2
2	11	2
2	12	0
2	13	1
2	14	1
2	15	1
2	16	2
2	17	1
2	18	7
2	19	1
2	20	10
2	21	3
2	22	3
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	5
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	1
3	11	1
3	12	0
3	13	1
3	14	6
3	15	1
3	16	2
3	17	2
3	18	1
3	19	8
3	20	3
3	21	1
3	22	1
3	23	0
3	24	8
4	1	2
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	2
4	8	0
4	9	0
4	10	0
4	11	1
4	12	1
4	13	1
4	14	0
4	15	9
4	16	5
4	17	2
4	18	2
4	19	1
4	20	13
4	21	2
4	22	1
4	23	0
4	24	1
5	1	0
5	2	4
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	6
5	9	3
5	10	2
5	11	0
5	12	5
5	13	4
5	14	31
5	15	14
5	16	11
5	17	21
5	18	3
5	19	3
5	20	3
5	21	14
5	22	10
5	23	4
5	24	1
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	0
6	9	0
6	10	0
6	11	2
6	12	2
6	13	1
6	14	3
6	15	1
6	16	4
6	17	1
6	18	0
6	19	0
6	20	1
6	21	4
6	22	0
6	23	1
6	24	0
7	1	2
7	2	0
7	3	0
7	4	1
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	1
7	13	1
7	14	0
7	15	3
7	16	2
7	17	1
7	18	0
7	19	2
7	20	3
7	21	1
7	22	2
7	23	0
7	24	0
