day	hour	value
1	1	4
1	2	5
1	3	4
1	4	0
1	5	1
1	6	0
1	7	1
1	8	1
1	9	0
1	10	0
1	11	0
1	12	0
1	13	2
1	14	1
1	15	1
1	16	0
1	17	7
1	18	7
1	19	0
1	20	4
1	21	2
1	22	2
1	23	7
1	24	2
2	1	7
2	2	2
2	3	0
2	4	3
2	5	1
2	6	2
2	7	0
2	8	1
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	1
2	15	0
2	16	2
2	17	4
2	18	0
2	19	7
2	20	6
2	21	2
2	22	3
2	23	1
2	24	2
3	1	4
3	2	2
3	3	0
3	4	4
3	5	1
3	6	0
3	7	4
3	8	1
3	9	1
3	10	0
3	11	0
3	12	0
3	13	2
3	14	3
3	15	2
3	16	5
3	17	4
3	18	8
3	19	6
3	20	6
3	21	7
3	22	7
3	23	11
3	24	1
4	1	1
4	2	3
4	3	1
4	4	7
4	5	0
4	6	3
4	7	0
4	8	1
4	9	1
4	10	0
4	11	0
4	12	2
4	13	3
4	14	0
4	15	6
4	16	3
4	17	3
4	18	1
4	19	5
4	20	9
4	21	2
4	22	0
4	23	4
4	24	0
5	1	3
5	2	1
5	3	4
5	4	1
5	5	4
5	6	0
5	7	2
5	8	2
5	9	0
5	10	1
5	11	0
5	12	2
5	13	1
5	14	1
5	15	2
5	16	0
5	17	3
5	18	3
5	19	9
5	20	6
5	21	3
5	22	5
5	23	8
5	24	2
6	1	7
6	2	0
6	3	4
6	4	1
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	0
6	13	0
6	14	3
6	15	5
6	16	2
6	17	3
6	18	9
6	19	2
6	20	1
6	21	1
6	22	2
6	23	4
6	24	1
7	1	7
7	2	3
7	3	1
7	4	3
7	5	0
7	6	2
7	7	1
7	8	0
7	9	0
7	10	1
7	11	0
7	12	1
7	13	2
7	14	0
7	15	4
7	16	1
7	17	7
7	18	2
7	19	5
7	20	3
7	21	4
7	22	2
7	23	2
7	24	1
