day	hour	value
1	1	13
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	0
1	9	1
1	10	0
1	11	1
1	12	0
1	13	4
1	14	3
1	15	2
1	16	3
1	17	5
1	18	1
1	19	1
1	20	1
1	21	0
1	22	1
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	1
2	5	1
2	6	0
2	7	0
2	8	4
2	9	3
2	10	1
2	11	0
2	12	2
2	13	1
2	14	0
2	15	1
2	16	2
2	17	0
2	18	0
2	19	3
2	20	1
2	21	0
2	22	0
2	23	0
2	24	1
3	1	0
3	2	2
3	3	0
3	4	0
3	5	2
3	6	1
3	7	0
3	8	0
3	9	1
3	10	0
3	11	0
3	12	3
3	13	1
3	14	1
3	15	6
3	16	2
3	17	2
3	18	3
3	19	3
3	20	4
3	21	0
3	22	9
3	23	2
3	24	5
4	1	0
4	2	0
4	3	16
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	0
4	10	0
4	11	2
4	12	1
4	13	1
4	14	3
4	15	8
4	16	2
4	17	2
4	18	2
4	19	1
4	20	2
4	21	2
4	22	0
4	23	0
4	24	17
5	1	1
5	2	0
5	3	0
5	4	4
5	5	0
5	6	0
5	7	0
5	8	0
5	9	5
5	10	2
5	11	0
5	12	0
5	13	4
5	14	6
5	15	5
5	16	9
5	17	2
5	18	4
5	19	21
5	20	33
5	21	2
5	22	1
5	23	0
5	24	1
6	1	3
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	1
6	13	6
6	14	6
6	15	3
6	16	6
6	17	4
6	18	0
6	19	1
6	20	1
6	21	4
6	22	0
6	23	10
6	24	3
7	1	3
7	2	2
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	0
7	9	1
7	10	0
7	11	1
7	12	0
7	13	2
7	14	3
7	15	3
7	16	0
7	17	1
7	18	8
7	19	1
7	20	0
7	21	1
7	22	4
7	23	0
7	24	2
