day	hour	value
1	1	0
1	2	0
1	3	0
1	4	1
1	5	0
1	6	0
1	7	0
1	8	0
1	9	4
1	10	6
1	11	0
1	12	2
1	13	1
1	14	2
1	15	1
1	16	4
1	17	7
1	18	2
1	19	4
1	20	3
1	21	1
1	22	3
1	23	0
1	24	10
2	1	2
2	2	1
2	3	0
2	4	3
2	5	0
2	6	10
2	7	1
2	8	4
2	9	3
2	10	8
2	11	0
2	12	2
2	13	3
2	14	2
2	15	1
2	16	6
2	17	1
2	18	5
2	19	2
2	20	1
2	21	7
2	22	5
2	23	2
2	24	12
3	1	1
3	2	0
3	3	0
3	4	1
3	5	0
3	6	1
3	7	0
3	8	4
3	9	2
3	10	18
3	11	2
3	12	5
3	13	3
3	14	33
3	15	2
3	16	3
3	17	4
3	18	4
3	19	1
3	20	1
3	21	3
3	22	4
3	23	2
3	24	2
4	1	0
4	2	1
4	3	0
4	4	1
4	5	0
4	6	0
4	7	0
4	8	2
4	9	11
4	10	9
4	11	2
4	12	2
4	13	1
4	14	2
4	15	7
4	16	6
4	17	3
4	18	6
4	19	1
4	20	4
4	21	1
4	22	3
4	23	1
4	24	3
5	1	0
5	2	1
5	3	0
5	4	2
5	5	0
5	6	1
5	7	0
5	8	4
5	9	8
5	10	7
5	11	2
5	12	3
5	13	4
5	14	6
5	15	8
5	16	4
5	17	1
5	18	4
5	19	5
5	20	10
5	21	2
5	22	2
5	23	2
5	24	0
6	1	0
6	2	0
6	3	1
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	0
6	10	7
6	11	2
6	12	6
6	13	1
6	14	2
6	15	8
6	16	3
6	17	3
6	18	5
6	19	0
6	20	1
6	21	1
6	22	1
6	23	1
6	24	0
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	0
7	10	0
7	11	1
7	12	7
7	13	4
7	14	1
7	15	3
7	16	1
7	17	0
7	18	1
7	19	1
7	20	0
7	21	2
7	22	1
7	23	9
7	24	1
