day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	9
1	8	8
1	9	4
1	10	5
1	11	4
1	12	4
1	13	0
1	14	0
1	15	2
1	16	1
1	17	1
1	18	0
1	19	1
1	20	0
1	21	0
1	22	0
1	23	2
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	16
2	8	7
2	9	4
2	10	3
2	11	5
2	12	0
2	13	4
2	14	0
2	15	1
2	16	0
2	17	1
2	18	0
2	19	1
2	20	2
2	21	0
2	22	4
2	23	3
2	24	4
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	15
3	8	5
3	9	0
3	10	2
3	11	2
3	12	4
3	13	1
3	14	2
3	15	2
3	16	3
3	17	3
3	18	0
3	19	0
3	20	0
3	21	2
3	22	40
3	23	10
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	8
4	8	7
4	9	5
4	10	1
4	11	0
4	12	1
4	13	3
4	14	0
4	15	0
4	16	0
4	17	1
4	18	1
4	19	0
4	20	5
4	21	0
4	22	3
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	5
5	8	9
5	9	7
5	10	6
5	11	7
5	12	3
5	13	1
5	14	4
5	15	1
5	16	2
5	17	2
5	18	0
5	19	1
5	20	0
5	21	5
5	22	2
5	23	1
5	24	0
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	5
6	9	4
6	10	10
6	11	2
6	12	3
6	13	2
6	14	0
6	15	1
6	16	1
6	17	4
6	18	4
6	19	6
6	20	3
6	21	10
6	22	2
6	23	1
6	24	2
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	5
7	9	1
7	10	4
7	11	5
7	12	2
7	13	1
7	14	0
7	15	6
7	16	3
7	17	0
7	18	2
7	19	2
7	20	2
7	21	0
7	22	0
7	23	2
7	24	0
