day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	2
1	9	0
1	10	1
1	11	0
1	12	0
1	13	1
1	14	1
1	15	0
1	16	4
1	17	4
1	18	0
1	19	1
1	20	1
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	1
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
2	15	2
2	16	1
2	17	3
2	18	0
2	19	0
2	20	1
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	1
3	4	0
3	5	0
3	6	1
3	7	0
3	8	1
3	9	2
3	10	0
3	11	0
3	12	16
3	13	14
3	14	2
3	15	1
3	16	0
3	17	2
3	18	0
3	19	5
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	3
4	4	0
4	5	0
4	6	1
4	7	1
4	8	0
4	9	0
4	10	4
4	11	0
4	12	4
4	13	1
4	14	8
4	15	0
4	16	3
4	17	0
4	18	2
4	19	2
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	0
5	8	0
5	9	2
5	10	1
5	11	1
5	12	1
5	13	2
5	14	0
5	15	3
5	16	0
5	17	2
5	18	1
5	19	0
5	20	1
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	5
6	9	1
6	10	1
6	11	0
6	12	2
6	13	3
6	14	1
6	15	3
6	16	0
6	17	2
6	18	1
6	19	3
6	20	0
6	21	1
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	1
7	7	1
7	8	1
7	9	1
7	10	1
7	11	0
7	12	1
7	13	1
7	14	1
7	15	0
7	16	2
7	17	2
7	18	0
7	19	1
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
