day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	7
1	9	2
1	10	30
1	11	4
1	12	0
1	13	16
1	14	0
1	15	10
1	16	15
1	17	7
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	15
2	9	1
2	10	9
2	11	0
2	12	9
2	13	4
2	14	0
2	15	0
2	16	12
2	17	0
2	18	0
2	19	7
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	5
3	9	9
3	10	0
3	11	0
3	12	27
3	13	0
3	14	0
3	15	0
3	16	0
3	17	14
3	18	6
3	19	0
3	20	1
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	10
4	10	2
4	11	0
4	12	5
4	13	0
4	14	11
4	15	0
4	16	8
4	17	9
4	18	5
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	6
5	9	0
5	10	21
5	11	19
5	12	7
5	13	0
5	14	0
5	15	14
5	16	23
5	17	10
5	18	0
5	19	13
5	20	0
5	21	1
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	6
6	10	9
6	11	12
6	12	31
6	13	5
6	14	6
6	15	3
6	16	0
6	17	6
6	18	0
6	19	8
6	20	0
6	21	0
6	22	7
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	5
7	9	0
7	10	12
7	11	5
7	12	6
7	13	4
7	14	4
7	15	0
7	16	0
7	17	17
7	18	0
7	19	1
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
