day	hour	value
1	1	0
1	2	1
1	3	0
1	4	0
1	5	0
1	6	1
1	7	0
1	8	0
1	9	1
1	10	0
1	11	0
1	12	2
1	13	0
1	14	2
1	15	0
1	16	0
1	17	1
1	18	0
1	19	1
1	20	0
1	21	1
1	22	1
1	23	0
1	24	0
2	1	0
2	2	1
2	3	2
2	4	1
2	5	0
2	6	0
2	7	0
2	8	1
2	9	0
2	10	0
2	11	1
2	12	0
2	13	0
2	14	0
2	15	0
2	16	1
2	17	0
2	18	2
2	19	0
2	20	0
2	21	1
2	22	4
2	23	0
2	24	2
3	1	1
3	2	3
3	3	2
3	4	1
3	5	0
3	6	0
3	7	2
3	8	0
3	9	0
3	10	0
3	11	2
3	12	0
3	13	0
3	14	1
3	15	0
3	16	0
3	17	0
3	18	6
3	19	0
3	20	1
3	21	0
3	22	0
3	23	1
3	24	0
4	1	2
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	0
4	10	2
4	11	0
4	12	1
4	13	0
4	14	1
4	15	1
4	16	0
4	17	1
4	18	1
4	19	1
4	20	2
4	21	4
4	22	0
4	23	1
4	24	1
5	1	0
5	2	1
5	3	0
5	4	0
5	5	0
5	6	3
5	7	0
5	8	1
5	9	1
5	10	1
5	11	1
5	12	0
5	13	0
5	14	0
5	15	1
5	16	0
5	17	1
5	18	0
5	19	1
5	20	1
5	21	1
5	22	1
5	23	0
5	24	0
6	1	1
6	2	1
6	3	0
6	4	1
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	2
6	12	2
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	1
6	19	0
6	20	0
6	21	1
6	22	3
6	23	0
6	24	0
7	1	0
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	3
7	10	0
7	11	1
7	12	2
7	13	1
7	14	1
7	15	0
7	16	2
7	17	2
7	18	0
7	19	0
7	20	3
7	21	2
7	22	1
7	23	1
7	24	0
