day	hour	value
1	1	0
1	2	1
1	3	0
1	4	1
1	5	0
1	6	0
1	7	2
1	8	6
1	9	2
1	10	5
1	11	5
1	12	3
1	13	5
1	14	3
1	15	2
1	16	6
1	17	3
1	18	3
1	19	1
1	20	0
1	21	3
1	22	1
1	23	3
1	24	6
2	1	3
2	2	3
2	3	0
2	4	0
2	5	3
2	6	3
2	7	5
2	8	7
2	9	1
2	10	2
2	11	6
2	12	2
2	13	0
2	14	0
2	15	1
2	16	0
2	17	1
2	18	4
2	19	5
2	20	3
2	21	2
2	22	4
2	23	3
2	24	4
3	1	5
3	2	3
3	3	1
3	4	2
3	5	2
3	6	4
3	7	2
3	8	5
3	9	1
3	10	3
3	11	6
3	12	0
3	13	0
3	14	3
3	15	0
3	16	2
3	17	2
3	18	4
3	19	8
3	20	5
3	21	5
3	22	2
3	23	6
3	24	2
4	1	8
4	2	2
4	3	0
4	4	2
4	5	0
4	6	2
4	7	0
4	8	3
4	9	6
4	10	2
4	11	5
4	12	6
4	13	0
4	14	0
4	15	1
4	16	3
4	17	10
4	18	4
4	19	6
4	20	6
4	21	7
4	22	7
4	23	2
4	24	1
5	1	3
5	2	3
5	3	1
5	4	0
5	5	0
5	6	0
5	7	1
5	8	4
5	9	1
5	10	2
5	11	7
5	12	11
5	13	2
5	14	1
5	15	4
5	16	1
5	17	1
5	18	9
5	19	1
5	20	9
5	21	11
5	22	5
5	23	1
5	24	2
6	1	1
6	2	1
6	3	0
6	4	0
6	5	2
6	6	2
6	7	0
6	8	0
6	9	1
6	10	5
6	11	3
6	12	7
6	13	0
6	14	6
6	15	2
6	16	1
6	17	6
6	18	2
6	19	4
6	20	2
6	21	2
6	22	7
6	23	2
6	24	2
7	1	1
7	2	3
7	3	3
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	4
7	10	1
7	11	4
7	12	11
7	13	0
7	14	3
7	15	4
7	16	9
7	17	5
7	18	4
7	19	2
7	20	5
7	21	2
7	22	5
7	23	1
7	24	2
