day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	3
1	12	0
1	13	2
1	14	4
1	15	3
1	16	7
1	17	2
1	18	7
1	19	2
1	20	5
1	21	3
1	22	4
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	1
2	8	0
2	9	1
2	10	5
2	11	2
2	12	5
2	13	7
2	14	5
2	15	4
2	16	6
2	17	4
2	18	8
2	19	7
2	20	6
2	21	2
2	22	5
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	2
3	10	4
3	11	3
3	12	5
3	13	5
3	14	5
3	15	2
3	16	2
3	17	6
3	18	3
3	19	7
3	20	4
3	21	2
3	22	3
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	5
4	11	16
4	12	69
4	13	41
4	14	3
4	15	3
4	16	2
4	17	2
4	18	4
4	19	4
4	20	4
4	21	4
4	22	1
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	2
5	6	4
5	7	1
5	8	1
5	9	1
5	10	3
5	11	3
5	12	6
5	13	6
5	14	3
5	15	4
5	16	5
5	17	5
5	18	5
5	19	2
5	20	4
5	21	5
5	22	4
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	1
6	11	1
6	12	0
6	13	2
6	14	1
6	15	1
6	16	1
6	17	3
6	18	1
6	19	1
6	20	1
6	21	0
6	22	3
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
