day	hour	value
1	1	0
1	2	0
1	3	1
1	4	0
1	5	0
1	6	0
1	7	0
1	8	6
1	9	7
1	10	7
1	11	10
1	12	13
1	13	7
1	14	17
1	15	10
1	16	7
1	17	9
1	18	1
1	19	3
1	20	0
1	21	1
1	22	2
1	23	0
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	2
2	10	7
2	11	5
2	12	6
2	13	2
2	14	2
2	15	8
2	16	2
2	17	3
2	18	3
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	1
3	9	6
3	10	4
3	11	5
3	12	6
3	13	3
3	14	5
3	15	4
3	16	3
3	17	2
3	18	0
3	19	0
3	20	0
3	21	1
3	22	1
3	23	2
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	2
4	10	8
4	11	5
4	12	6
4	13	7
4	14	11
4	15	11
4	16	5
4	17	0
4	18	2
4	19	0
4	20	0
4	21	1
4	22	0
4	23	0
4	24	0
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	1
5	8	2
5	9	9
5	10	11
5	11	13
5	12	9
5	13	10
5	14	13
5	15	9
5	16	10
5	17	4
5	18	2
5	19	4
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	3
6	10	0
6	11	0
6	12	5
6	13	0
6	14	2
6	15	0
6	16	0
6	17	3
6	18	0
6	19	1
6	20	1
6	21	0
6	22	0
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	2
7	11	4
7	12	3
7	13	0
7	14	1
7	15	2
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	3
7	24	0
