day	hour	value
1	1	3
1	2	1
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	2
1	10	0
1	11	2
1	12	3
1	13	4
1	14	5
1	15	6
1	16	5
1	17	3
1	18	2
1	19	6
1	20	7
1	21	6
1	22	8
1	23	8
1	24	6
2	1	4
2	2	3
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	2
2	11	1
2	12	3
2	13	0
2	14	2
2	15	2
2	16	2
2	17	0
2	18	3
2	19	7
2	20	7
2	21	6
2	22	6
2	23	6
2	24	6
3	1	5
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	6
3	10	3
3	11	5
3	12	7
3	13	0
3	14	1
3	15	1
3	16	2
3	17	2
3	18	1
3	19	2
3	20	5
3	21	3
3	22	3
3	23	3
3	24	3
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	2
4	11	1
4	12	1
4	13	6
4	14	5
4	15	3
4	16	4
4	17	8
4	18	8
4	19	7
4	20	6
4	21	6
4	22	8
4	23	6
4	24	6
5	1	6
5	2	5
5	3	3
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	2
5	10	0
5	11	1
5	12	2
5	13	4
5	14	3
5	15	3
5	16	4
5	17	8
5	18	8
5	19	7
5	20	7
5	21	3
5	22	3
5	23	4
5	24	5
6	1	3
6	2	3
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	6
6	11	9
6	12	6
6	13	6
6	14	7
6	15	7
6	16	7
6	17	7
6	18	7
6	19	6
6	20	6
6	21	6
6	22	6
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	4
7	12	7
7	13	6
7	14	6
7	15	6
7	16	6
7	17	6
7	18	6
7	19	6
7	20	7
7	21	6
7	22	6
7	23	6
7	24	3
