day	hour	value
1	1	0
1	2	0
1	3	0
1	4	1
1	5	0
1	6	5
1	7	2
1	8	1
1	9	2
1	10	2
1	11	4
1	12	1
1	13	2
1	14	1
1	15	1
1	16	1
1	17	1
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	4
2	8	0
2	9	1
2	10	4
2	11	0
2	12	1
2	13	0
2	14	1
2	15	3
2	16	0
2	17	1
2	18	0
2	19	1
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	2
3	7	3
3	8	1
3	9	2
3	10	0
3	11	0
3	12	3
3	13	1
3	14	2
3	15	5
3	16	1
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	1
4	8	0
4	9	1
4	10	2
4	11	2
4	12	0
4	13	0
4	14	1
4	15	1
4	16	3
4	17	4
4	18	0
4	19	0
4	20	1
4	21	2
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	1
5	8	1
5	9	7
5	10	2
5	11	0
5	12	1
5	13	1
5	14	0
5	15	6
5	16	0
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	1
6	7	1
6	8	2
6	9	2
6	10	0
6	11	1
6	12	2
6	13	1
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	1
7	3	1
7	4	0
7	5	0
7	6	0
7	7	2
7	8	2
7	9	2
7	10	1
7	11	0
7	12	1
7	13	1
7	14	3
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
