day	hour	value
1	1	0
1	2	0
1	3	1
1	4	0
1	5	0
1	6	2
1	7	11
1	8	5
1	9	9
1	10	6
1	11	13
1	12	16
1	13	12
1	14	4
1	15	3
1	16	4
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	4
2	7	14
2	8	8
2	9	5
2	10	7
2	11	7
2	12	10
2	13	5
2	14	5
2	15	7
2	16	10
2	17	6
2	18	2
2	19	1
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	1
3	6	6
3	7	6
3	8	10
3	9	6
3	10	9
3	11	9
3	12	3
3	13	5
3	14	7
3	15	7
3	16	4
3	17	3
3	18	2
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	3
4	7	7
4	8	9
4	9	4
4	10	7
4	11	3
4	12	4
4	13	1
4	14	6
4	15	4
4	16	1
4	17	6
4	18	1
4	19	0
4	20	1
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	8
5	7	5
5	8	14
5	9	10
5	10	4
5	11	9
5	12	7
5	13	5
5	14	4
5	15	5
5	16	2
5	17	3
5	18	2
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	1
6	6	2
6	7	5
6	8	1
6	9	6
6	10	6
6	11	5
6	12	10
6	13	0
6	14	3
6	15	3
6	16	1
6	17	3
6	18	0
6	19	0
6	20	0
6	21	0
6	22	1
6	23	0
6	24	0
7	1	1
7	2	1
7	3	0
7	4	0
7	5	0
7	6	2
7	7	1
7	8	4
7	9	6
7	10	6
7	11	6
7	12	1
7	13	0
7	14	2
7	15	4
7	16	2
7	17	0
7	18	1
7	19	1
7	20	0
7	21	2
7	22	0
7	23	0
7	24	0
