day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	3
1	11	5
1	12	2
1	13	4
1	14	3
1	15	3
1	16	4
1	17	3
1	18	2
1	19	4
1	20	10
1	21	6
1	22	3
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	0
2	8	1
2	9	2
2	10	9
2	11	3
2	12	3
2	13	0
2	14	5
2	15	2
2	16	3
2	17	2
2	18	3
2	19	3
2	20	4
2	21	4
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	2
3	9	1
3	10	1
3	11	2
3	12	5
3	13	3
3	14	3
3	15	3
3	16	3
3	17	0
3	18	0
3	19	1
3	20	2
3	21	3
3	22	2
3	23	1
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	0
4	11	1
4	12	3
4	13	0
4	14	7
4	15	2
4	16	1
4	17	3
4	18	0
4	19	1
4	20	3
4	21	2
4	22	1
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	2
5	10	0
5	11	2
5	12	0
5	13	2
5	14	1
5	15	3
5	16	0
5	17	2
5	18	1
5	19	0
5	20	0
5	21	1
5	22	0
5	23	0
5	24	0
6	1	0
6	2	2
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	2
6	9	0
6	10	3
6	11	2
6	12	2
6	13	1
6	14	2
6	15	1
6	16	2
6	17	0
6	18	0
6	19	0
6	20	2
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	1
7	7	0
7	8	0
7	9	0
7	10	2
7	11	1
7	12	0
7	13	0
7	14	0
7	15	3
7	16	1
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
