day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	5
1	7	8
1	8	8
1	9	4
1	10	1
1	11	8
1	12	6
1	13	3
1	14	1
1	15	1
1	16	8
1	17	7
1	18	2
1	19	4
1	20	3
1	21	0
1	22	0
1	23	1
1	24	0
2	1	0
2	2	0
2	3	2
2	4	0
2	5	0
2	6	2
2	7	6
2	8	5
2	9	13
2	10	7
2	11	3
2	12	2
2	13	8
2	14	3
2	15	12
2	16	8
2	17	5
2	18	1
2	19	1
2	20	1
2	21	2
2	22	1
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	7
3	8	7
3	9	3
3	10	4
3	11	2
3	12	2
3	13	5
3	14	3
3	15	1
3	16	1
3	17	2
3	18	4
3	19	4
3	20	1
3	21	0
3	22	3
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	9
4	8	9
4	9	6
4	10	4
4	11	7
4	12	6
4	13	6
4	14	5
4	15	4
4	16	3
4	17	4
4	18	1
4	19	3
4	20	2
4	21	2
4	22	2
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	1
5	5	0
5	6	0
5	7	14
5	8	8
5	9	18
5	10	4
5	11	6
5	12	10
5	13	3
5	14	6
5	15	4
5	16	8
5	17	3
5	18	1
5	19	1
5	20	3
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	10
6	8	6
6	9	8
6	10	1
6	11	5
6	12	4
6	13	2
6	14	3
6	15	3
6	16	3
6	17	3
6	18	0
6	19	1
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	3
7	7	5
7	8	9
7	9	1
7	10	0
7	11	1
7	12	1
7	13	2
7	14	6
7	15	1
7	16	0
7	17	1
7	18	3
7	19	1
7	20	0
7	21	3
7	22	0
7	23	1
7	24	0
