day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	4
1	10	1
1	11	2
1	12	1
1	13	0
1	14	5
1	15	13
1	16	4
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	8
2	10	0
2	11	12
2	12	21
2	13	1
2	14	0
2	15	1
2	16	4
2	17	0
2	18	0
2	19	0
2	20	0
2	21	9
2	22	0
2	23	2
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	5
3	10	3
3	11	3
3	12	3
3	13	3
3	14	0
3	15	0
3	16	8
3	17	3
3	18	5
3	19	0
3	20	0
3	21	1
3	22	1
3	23	2
3	24	2
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	4
4	10	0
4	11	1
4	12	0
4	13	0
4	14	0
4	15	2
4	16	17
4	17	1
4	18	2
4	19	1
4	20	7
4	21	21
4	22	1
4	23	7
4	24	0
5	1	4
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	6
5	10	0
5	11	1
5	12	2
5	13	2
5	14	0
5	15	11
5	16	5
5	17	0
5	18	33
5	19	16
5	20	1
5	21	4
5	22	0
5	23	2
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	11
6	10	2
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	3
6	17	0
6	18	0
6	19	4
6	20	0
6	21	0
6	22	0
6	23	8
6	24	18
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	3
7	10	2
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	3
7	17	0
7	18	0
7	19	0
7	20	3
7	21	0
7	22	0
7	23	1
7	24	0
