day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	1
1	7	3
1	8	13
1	9	6
1	10	3
1	11	7
1	12	3
1	13	4
1	14	4
1	15	4
1	16	1
1	17	0
1	18	2
1	19	6
1	20	13
1	21	9
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	3
2	8	14
2	9	13
2	10	5
2	11	6
2	12	4
2	13	6
2	14	7
2	15	3
2	16	9
2	17	4
2	18	4
2	19	2
2	20	4
2	21	2
2	22	2
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	2
3	7	4
3	8	16
3	9	10
3	10	4
3	11	8
3	12	5
3	13	14
3	14	7
3	15	7
3	16	2
3	17	5
3	18	7
3	19	2
3	20	2
3	21	3
3	22	1
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	2
4	8	4
4	9	9
4	10	3
4	11	4
4	12	13
4	13	10
4	14	3
4	15	5
4	16	1
4	17	5
4	18	2
4	19	3
4	20	2
4	21	2
4	22	1
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	2
5	7	4
5	8	15
5	9	7
5	10	1
5	11	1
5	12	4
5	13	4
5	14	6
5	15	10
5	16	3
5	17	3
5	18	1
5	19	1
5	20	3
5	21	1
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	1
6	7	1
6	8	7
6	9	12
6	10	2
6	11	6
6	12	1
6	13	6
6	14	4
6	15	3
6	16	0
6	17	5
6	18	1
6	19	3
6	20	1
6	21	1
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	13
7	9	7
7	10	4
7	11	6
7	12	0
7	13	3
7	14	3
7	15	4
7	16	0
7	17	3
7	18	7
7	19	3
7	20	1
7	21	2
7	22	0
7	23	0
7	24	0
