day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	1
1	7	1
1	8	4
1	9	3
1	10	4
1	11	3
1	12	7
1	13	0
1	14	11
1	15	4
1	16	9
1	17	8
1	18	2
1	19	0
1	20	1
1	21	5
1	22	2
1	23	2
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	2
2	8	4
2	9	7
2	10	10
2	11	5
2	12	4
2	13	4
2	14	2
2	15	2
2	16	5
2	17	5
2	18	2
2	19	14
2	20	4
2	21	7
2	22	6
2	23	11
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	1
3	6	0
3	7	6
3	8	2
3	9	2
3	10	13
3	11	5
3	12	6
3	13	0
3	14	4
3	15	11
3	16	3
3	17	1
3	18	8
3	19	3
3	20	1
3	21	3
3	22	5
3	23	4
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	2
4	7	1
4	8	4
4	9	9
4	10	12
4	11	6
4	12	3
4	13	4
4	14	2
4	15	1
4	16	2
4	17	5
4	18	9
4	19	7
4	20	6
4	21	10
4	22	7
4	23	2
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	3
5	8	12
5	9	8
5	10	5
5	11	6
5	12	4
5	13	0
5	14	6
5	15	4
5	16	5
5	17	5
5	18	2
5	19	1
5	20	5
5	21	0
5	22	2
5	23	1
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	3
6	8	4
6	9	6
6	10	3
6	11	2
6	12	3
6	13	2
6	14	5
6	15	4
6	16	0
6	17	5
6	18	4
6	19	2
6	20	2
6	21	0
6	22	1
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	3
7	10	2
7	11	4
7	12	5
7	13	2
7	14	0
7	15	1
7	16	2
7	17	0
7	18	3
7	19	0
7	20	0
7	21	1
7	22	1
7	23	0
7	24	0
