day	hour	value
1	1	1
1	2	1
1	3	1
1	4	1
1	5	2
1	6	2
1	7	2
1	8	0
1	9	1
1	10	1
1	11	5
1	12	5
1	13	2
1	14	1
1	15	3
1	16	16
1	17	12
1	18	4
1	19	1
1	20	3
1	21	2
1	22	1
1	23	1
1	24	1
2	1	1
2	2	1
2	3	2
2	4	1
2	5	3
2	6	1
2	7	3
2	8	1
2	9	1
2	10	1
2	11	5
2	12	8
2	13	1
2	14	1
2	15	2
2	16	2
2	17	1
2	18	2
2	19	1
2	20	1
2	21	1
2	22	1
2	23	1
2	24	0
3	1	1
3	2	1
3	3	2
3	4	1
3	5	1
3	6	2
3	7	1
3	8	1
3	9	1
3	10	1
3	11	2
3	12	2
3	13	2
3	14	1
3	15	1
3	16	6
3	17	3
3	18	4
3	19	1
3	20	3
3	21	2
3	22	2
3	23	2
3	24	2
4	1	2
4	2	2
4	3	3
4	4	2
4	5	3
4	6	3
4	7	1
4	8	2
4	9	2
4	10	2
4	11	6
4	12	6
4	13	9
4	14	1
4	15	2
4	16	8
4	17	1
4	18	3
4	19	1
4	20	3
4	21	3
4	22	1
4	23	1
4	24	1
5	1	1
5	2	1
5	3	2
5	4	1
5	5	1
5	6	3
5	7	1
5	8	1
5	9	1
5	10	1
5	11	4
5	12	5
5	13	2
5	14	1
5	15	0
5	16	7
5	17	1
5	18	1
5	19	1
5	20	3
5	21	1
5	22	1
5	23	1
5	24	1
6	1	1
6	2	1
6	3	3
6	4	1
6	5	2
6	6	2
6	7	2
6	8	1
6	9	1
6	10	1
6	11	3
6	12	1
6	13	2
6	14	1
6	15	1
6	16	1
6	17	0
6	18	1
6	19	0
6	20	3
6	21	1
6	22	1
6	23	2
6	24	1
7	1	1
7	2	1
7	3	1
7	4	1
7	5	2
7	6	2
7	7	2
7	8	1
7	9	1
7	10	1
7	11	3
7	12	3
7	13	3
7	14	3
7	15	2
7	16	5
7	17	3
7	18	4
7	19	2
7	20	3
7	21	0
7	22	1
7	23	1
7	24	1
