day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	2
1	9	5
1	10	3
1	11	4
1	12	3
1	13	1
1	14	5
1	15	4
1	16	2
1	17	3
1	18	5
1	19	4
1	20	4
1	21	4
1	22	4
1	23	3
1	24	1
2	1	2
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	5
2	9	1
2	10	4
2	11	4
2	12	6
2	13	4
2	14	6
2	15	3
2	16	4
2	17	2
2	18	2
2	19	3
2	20	2
2	21	5
2	22	1
2	23	2
2	24	0
3	1	1
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	3
3	9	4
3	10	4
3	11	4
3	12	5
3	13	4
3	14	6
3	15	2
3	16	2
3	17	5
3	18	2
3	19	4
3	20	5
3	21	4
3	22	6
3	23	4
3	24	3
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	3
4	9	3
4	10	2
4	11	5
4	12	2
4	13	2
4	14	5
4	15	2
4	16	2
4	17	3
4	18	2
4	19	5
4	20	2
4	21	2
4	22	2
4	23	4
4	24	2
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	2
5	9	3
5	10	2
5	11	3
5	12	7
5	13	4
5	14	3
5	15	4
5	16	5
5	17	4
5	18	4
5	19	3
5	20	4
5	21	3
5	22	4
5	23	2
5	24	0
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	4
6	9	5
6	10	3
6	11	4
6	12	5
6	13	5
6	14	1
6	15	5
6	16	4
6	17	4
6	18	4
6	19	3
6	20	2
6	21	3
6	22	2
6	23	1
6	24	3
7	1	0
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	2
7	9	2
7	10	3
7	11	3
7	12	4
7	13	4
7	14	4
7	15	4
7	16	3
7	17	2
7	18	3
7	19	1
7	20	3
7	21	3
7	22	1
7	23	4
7	24	1
