day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	2
1	11	3
1	12	2
1	13	5
1	14	5
1	15	1
1	16	3
1	17	1
1	18	0
1	19	0
1	20	5
1	21	5
1	22	5
1	23	4
1	24	2
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	0
2	8	0
2	9	1
2	10	1
2	11	6
2	12	3
2	13	4
2	14	5
2	15	4
2	16	6
2	17	2
2	18	1
2	19	7
2	20	5
2	21	9
2	22	0
2	23	1
2	24	7
3	1	2
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	1
3	9	0
3	10	0
3	11	2
3	12	9
3	13	5
3	14	10
3	15	3
3	16	2
3	17	0
3	18	7
3	19	3
3	20	4
3	21	13
3	22	1
3	23	2
3	24	6
4	1	3
4	2	0
4	3	0
4	4	1
4	5	0
4	6	0
4	7	1
4	8	0
4	9	2
4	10	1
4	11	10
4	12	5
4	13	3
4	14	17
4	15	5
4	16	4
4	17	1
4	18	1
4	19	10
4	20	6
4	21	1
4	22	1
4	23	10
4	24	3
5	1	7
5	2	2
5	3	1
5	4	0
5	5	1
5	6	0
5	7	0
5	8	0
5	9	1
5	10	1
5	11	4
5	12	17
5	13	10
5	14	1
5	15	2
5	16	7
5	17	3
5	18	2
5	19	1
5	20	2
5	21	7
5	22	6
5	23	3
5	24	5
6	1	0
6	2	4
6	3	2
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	2
6	12	15
6	13	13
6	14	5
6	15	6
6	16	2
6	17	3
6	18	0
6	19	1
6	20	3
6	21	4
6	22	5
6	23	5
6	24	2
7	1	0
7	2	1
7	3	0
7	4	1
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	1
7	11	3
7	12	4
7	13	5
7	14	7
7	15	1
7	16	4
7	17	2
7	18	3
7	19	1
7	20	0
7	21	3
7	22	4
7	23	4
7	24	2
