day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	10
1	10	1
1	11	10
1	12	1
1	13	9
1	14	1
1	15	12
1	16	9
1	17	1
1	18	10
1	19	2
1	20	11
1	21	1
1	22	11
1	23	10
1	24	9
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	10
2	10	1
2	11	10
2	12	2
2	13	10
2	14	2
2	15	11
2	16	9
2	17	1
2	18	11
2	19	1
2	20	10
2	21	1
2	22	11
2	23	11
2	24	11
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	10
3	10	0
3	11	10
3	12	0
3	13	9
3	14	0
3	15	9
3	16	9
3	17	0
3	18	10
3	19	3
3	20	10
3	21	0
3	22	11
3	23	9
3	24	9
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	11
4	10	0
4	11	11
4	12	0
4	13	9
4	14	0
4	15	10
4	16	10
4	17	3
4	18	11
4	19	0
4	20	11
4	21	0
4	22	12
4	23	10
4	24	10
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	11
5	10	0
5	11	11
5	12	0
5	13	10
5	14	0
5	15	10
5	16	10
5	17	1
5	18	11
5	19	0
5	20	11
5	21	0
5	22	11
5	23	10
5	24	10
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	11
6	15	0
6	16	5
6	17	0
6	18	5
6	19	0
6	20	1
6	21	5
6	22	0
6	23	0
6	24	5
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	1
7	14	10
7	15	1
7	16	4
7	17	1
7	18	4
7	19	0
7	20	1
7	21	4
7	22	1
7	23	1
7	24	4
