day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	2
1	10	2
1	11	4
1	12	1
1	13	2
1	14	0
1	15	9
1	16	3
1	17	3
1	18	4
1	19	4
1	20	13
1	21	2
1	22	9
1	23	2
1	24	1
2	1	0
2	2	1
2	3	0
2	4	0
2	5	1
2	6	0
2	7	2
2	8	1
2	9	0
2	10	3
2	11	5
2	12	0
2	13	2
2	14	3
2	15	1
2	16	4
2	17	2
2	18	3
2	19	5
2	20	8
2	21	1
2	22	3
2	23	3
2	24	0
3	1	1
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	2
3	8	3
3	9	1
3	10	2
3	11	0
3	12	2
3	13	2
3	14	3
3	15	5
3	16	4
3	17	1
3	18	3
3	19	1
3	20	10
3	21	8
3	22	12
3	23	4
3	24	6
4	1	0
4	2	1
4	3	0
4	4	0
4	5	0
4	6	1
4	7	1
4	8	1
4	9	2
4	10	6
4	11	4
4	12	2
4	13	9
4	14	10
4	15	4
4	16	3
4	17	8
4	18	9
4	19	10
4	20	7
4	21	10
4	22	10
4	23	5
4	24	2
5	1	2
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	1
5	10	6
5	11	5
5	12	10
5	13	5
5	14	4
5	15	8
5	16	7
5	17	8
5	18	5
5	19	11
5	20	11
5	21	3
5	22	8
5	23	0
5	24	7
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	4
6	9	1
6	10	3
6	11	6
6	12	11
6	13	9
6	14	16
6	15	6
6	16	9
6	17	8
6	18	5
6	19	6
6	20	1
6	21	2
6	22	2
6	23	13
6	24	5
7	1	2
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	3
7	10	1
7	11	3
7	12	10
7	13	7
7	14	4
7	15	8
7	16	6
7	17	6
7	18	10
7	19	4
7	20	1
7	21	1
7	22	7
7	23	1
7	24	6
